iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4124,22.91,14.678,14.762,-0.00229,0.00029,93.77
2,8225,23.17,15.067,15.148,-0.00096,0.00028,105.77
3,12332,22.32,14.677,14.76,-0.00065,0.00028,96.42
4,16466,24.61,15.759,15.848,-0.00132,0.00029,90.69
5,20569,25.81,16.844,16.938,-0.00047,0.00029,89.7
6,24686,25.57,16.327,16.42,-0.00049,0.00029,87.76
7,28790,26.65,17.213,17.312,-0.00062,0.0003,88.82
8,32896,28.12,18.997,19.103,-0.00055,0.00031,87.59
9,37002,27.37,18.064,18.167,-0.00062,0.00032,88.59
10,41106,28.11,18.269,18.372,-0.00061,0.00033,87.17
11,45208,28.1,18.736,18.837,-0.0005,0.00034,88.96
12,49331,28.43,19.061,19.169,-0.00056,0.00035,87.83
13,53568,31.62,20.92,21.031,-0.00045,0.00037,96.5
14,57701,29.73,19.88,19.985,-0.00049,0.0004,91.28
15,61808,29.55,19.442,19.552,-0.00054,0.00041,89.52
16,65919,28.75,18.858,18.966,-0.00073,0.00043,86.99
17,70047,37.19,25.826,25.96,-0.00037,0.00046,87.62
18,74147,33.06,22.199,22.323,-0.00049,0.00049,87.38
19,78264,34.02,22.765,22.887,-0.00081,0.00051,87.44
20,82374,33.41,22.664,22.79,-0.00092,0.00057,86.95
21,86471,33.58,22.757,22.883,-0.00101,0.00057,85.73
22,90657,38.76,26.762,26.907,-0.00057,0.00061,87.58
23,94799,36.65,23.985,24.113,-0.00064,0.00068,86.46
24,98909,37.03,24.828,24.966,-0.00111,0.00072,85.33
25,103030,43.84,30.674,30.832,5e-05,0.00078,86.44
