iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4119,23.01,14.865,14.95,-0.00237,0.0005,133.71
2,8223,22.93,14.78,14.866,-0.00119,0.00053,204.35
3,12325,24.71,16.035,16.119,-0.0003,0.00056,150.45
4,16434,25.52,16.924,17.015,-0.00157,0.00059,142.9
5,20546,25.86,16.897,16.992,-0.001,0.00063,152.02
6,24657,25.53,16.363,16.462,-0.00075,0.00064,145.44
7,28759,26.81,17.859,17.956,-0.00107,0.00071,127.31
8,32858,24.4,15.625,15.712,-0.00113,0.00076,126.19
9,36964,27.74,19.021,19.121,-0.00056,0.00082,145.81
10,41098,25.21,16.458,16.552,-0.00077,0.00088,192.05
11,45210,27.23,18.133,18.233,-0.00108,0.00094,152.17
12,49383,28.78,19.697,19.802,-0.00053,0.00103,155.46
13,53502,30.74,20.925,21.039,-0.00067,0.00108,140.35
14,57631,33.03,22.915,23.028,-0.001,0.00119,135.67
15,61786,32.46,22.273,22.393,-0.00124,0.00126,136.95
16,65917,34.71,23.903,24.03,-4e-05,0.0014,126.1
17,70017,36.61,25.621,25.758,-0.00047,0.00152,125.5
18,74117,37.96,26.755,26.892,-0.00035,0.00165,126.84
19,78222,33.93,23.831,23.961,-0.00047,0.00178,126.28
20,82324,36.95,26.119,26.241,-0.00089,0.00193,124.57
21,86470,37.69,27.083,27.216,-0.00048,0.00209,125.83
22,90580,36.37,25.231,25.361,-0.00036,0.00229,126.06
23,94726,45.07,32.314,32.484,-0.0005,0.00252,127.23
24,98840,38.09,27.62,27.756,-8e-05,0.00269,124.41
25,102969,38.59,27.291,27.428,-0.00065,0.00293,125.29
