iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4108,21.851064,14.587258,-0.003405,61.23
2,8207,20.70202,13.630748,-0.001031,61.23
3,12315,22.205405,14.890349,-0.00057,62.22
4,16566,27.425806,19.283511,-0.001073,64.56
5,20665,24.111765,16.358616,-0.001306,62.74
6,24767,24.562874,16.741195,-0.000498,62.13
7,28909,25.567901,17.520055,-0.001106,64.69
8,33025,27.258278,19.191719,-0.000839,64.88
9,37121,28.444444,20.260257,-0.000472,62.98
10,41227,27.013158,19.061354,-0.00066,66.75
11,45334,27.938776,19.853184,-0.001366,68.55
12,49432,29.482014,21.327992,-0.000254,71.01
13,53603,28.765517,20.298147,-0.0006,73.72
14,57728,30.783582,22.381526,-0.000841,69.56
15,61853,28.253425,20.08204,-0.000982,66.39
16,66003,35.470085,26.508883,-0.000704,64.42
17,70144,34.798319,26.134069,-0.000299,65.04
18,74255,33.153226,24.570661,-0.001087,65.59
19,78377,30.992481,22.42377,-0.001306,60.6
20,82537,34.666667,25.407977,0.000123,58.45
21,86679,34.806723,25.955985,-0.001973,56.56
22,90819,40.990099,30.686562,-0.000621,61.98
23,94926,39.114286,29.226677,-0.00014,62.99
24,99096,38.971963,29.412341,-0.001647,65.86
25,103210,38.092593,27.901457,-0.002247,59.31
