episode,seed,episodic_return,episodic_length,collided
1,1000,196.44449082875593,232,True
2,1001,443.7809536331346,525,False
3,1002,20.050532010781577,31,True
4,1003,84.80174857881133,108,True
5,1004,446.18152211179694,525,False
6,1005,446.4531906196276,525,False
7,1006,17.55183741228205,25,True
8,1007,33.724221815964675,43,True
9,1008,20.28738436801188,30,True
10,1009,122.58266887359873,153,True
11,1010,80.75042349875946,105,True
12,1011,445.9417778902638,525,False
13,1012,328.34192372087693,394,True
14,1013,249.40962160145529,308,True
15,1014,25.17147934182299,39,True
16,1015,19.226831365137226,29,True
17,1016,18.058142060134326,28,True
18,1017,23.60764749843715,37,True
19,1018,449.8892848173514,525,False
20,1019,18.143300129373827,33,True
21,1020,85.518012944672,109,True
22,1021,442.24493752705814,525,False
23,1022,147.17146093881306,172,True
24,1023,444.46595679932284,525,False
25,1024,20.453055455125728,32,True
26,1025,444.90901508348713,525,False
27,1026,16.830428402839896,27,True
28,1027,18.739097640379516,27,True
29,1028,20.080272108915437,29,True
30,1029,10.551648168201302,21,True
31,1030,22.748930026148965,34,True
32,1031,195.05952180559672,247,True
33,1032,26.008031092959357,39,True
34,1033,33.431350304701006,43,True
35,1034,18.72583530745212,27,True
36,1035,43.8247331053823,51,True
37,1036,18.218009235347157,26,True
38,1037,20.963596003812494,31,True
39,1038,19.35545130946836,28,True
40,1039,20.418469105301202,33,True
41,1040,143.27588517401023,170,True
42,1041,156.29163472706767,192,True
43,1042,388.89895411899766,466,True
44,1043,174.65143403656123,213,True
45,1044,45.829319611440305,61,True
46,1045,447.29770902108226,525,False
47,1046,46.02864496629065,60,True
48,1047,442.2692874221553,525,False
49,1048,161.4566030243392,196,True
50,1049,433.9308227486144,525,False
