model,run_index,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
deep_sets_mean_max,2,23456,1,1000,25.298571477934622,46,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,2,1001,12.649874029296758,29,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,3,1002,21.948923278102452,44,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,4,1003,18.950773189706954,39,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,5,1004,13.756734294026954,31,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,6,1005,25.294355561095443,49,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,7,1006,25.111780108540746,47,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,8,1007,34.12175659466232,60,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,9,1008,25.164684493654867,46,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,10,1009,16.82432241610637,33,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,11,1010,32.117280491004934,55,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,12,1011,20.650711368385647,40,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,13,1012,23.458829529125083,47,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,14,1013,16.949757229222342,37,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,15,1014,37.70595890370046,62,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,16,1015,30.782862271840933,54,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,17,1016,21.419027961236402,42,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,18,1017,251.66554799384977,300,0,1,0,0,stay_best
deep_sets_mean_max,2,23456,19,1018,29.656308558434823,54,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,20,1019,19.009891367306533,39,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,21,1020,15.032845216171793,33,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,22,1021,29.18410548816828,51,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,23,1022,36.00946572629641,63,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,24,1023,28.357988572511633,53,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,25,1024,23.336272328079282,40,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,26,1025,20.758608163914936,42,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,27,1026,20.507060272381743,42,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,28,1027,24.557552745207207,48,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,29,1028,25.899225234756837,44,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,30,1029,20.199036078200617,41,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,31,1030,20.831226226735605,42,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,32,1031,29.05603047783587,55,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,33,1032,251.60730001747706,300,0,1,0,0,stay_best
deep_sets_mean_max,2,23456,34,1033,41.08977389827355,64,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,35,1034,149.8729040140671,193,1,0,1,0,stay_best
deep_sets_mean_max,2,23456,36,1035,25.87301442782705,49,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,37,1036,31.438807468303967,57,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,38,1037,23.340451700045556,46,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,39,1038,16.195431934208287,33,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,40,1039,250.76668004508565,300,0,1,0,0,stay_best
deep_sets_mean_max,2,23456,41,1040,28.04222395736072,46,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,42,1041,251.52669614125983,300,0,1,0,0,stay_best
deep_sets_mean_max,2,23456,43,1042,25.081998299725267,44,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,44,1043,15.022395209480482,34,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,45,1044,24.781440834096358,43,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,46,1045,29.49857900175016,47,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,47,1046,32.14259261847833,55,1,0,1,0,overtake_easy
deep_sets_mean_max,2,23456,48,1047,19.387311418039463,41,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,49,1048,26.985256466286828,46,1,0,1,0,overtake_blocked
deep_sets_mean_max,2,23456,50,1049,30.643697136925333,54,1,0,1,0,overtake_easy
