model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
deep_sets_mean,45678,1,1000,437.77891612993767,525,0,0,0,1,overtake_easy
deep_sets_mean,45678,2,1001,40.095454585927605,48,1,0,1,0,overtake_easy
deep_sets_mean,45678,3,1002,30.441836478729424,52,1,0,1,0,overtake_easy
deep_sets_mean,45678,4,1003,46.43566101536915,56,1,0,1,0,overtake_easy
deep_sets_mean,45678,5,1004,41.89597001413192,50,1,0,1,0,overtake_easy
deep_sets_mean,45678,6,1005,441.129483922127,525,0,0,0,1,stay_best
deep_sets_mean,45678,7,1006,21.76372882172863,39,1,0,1,0,overtake_easy
deep_sets_mean,45678,8,1007,46.88230122677852,56,1,0,1,0,overtake_blocked
deep_sets_mean,45678,9,1008,24.000070436253022,43,1,0,1,0,overtake_blocked
deep_sets_mean,45678,10,1009,437.64103956973804,525,0,0,0,1,overtake_easy
deep_sets_mean,45678,11,1010,435.5564123751685,525,0,0,0,1,overtake_easy
deep_sets_mean,45678,12,1011,438.65777355374973,525,0,0,0,1,overtake_easy
deep_sets_mean,45678,13,1012,44.60330879704262,54,1,0,1,0,overtake_easy
deep_sets_mean,45678,14,1013,45.885967610144554,55,1,0,1,0,overtake_easy
deep_sets_mean,45678,15,1014,47.83306252638615,73,1,0,1,0,overtake_easy
deep_sets_mean,45678,16,1015,26.52415668496625,46,1,0,1,0,overtake_easy
deep_sets_mean,45678,17,1016,26.736676753841852,47,1,0,1,0,overtake_easy
deep_sets_mean,45678,18,1017,48.00572510279017,62,1,0,1,0,overtake_blocked
deep_sets_mean,45678,19,1018,435.5058495522586,525,0,0,0,1,overtake_easy
deep_sets_mean,45678,20,1019,32.232934471802466,54,1,0,1,0,overtake_easy
deep_sets_mean,45678,21,1020,40.78793406267284,49,1,0,1,0,overtake_easy
deep_sets_mean,45678,22,1021,51.419251162626686,61,1,0,1,0,overtake_easy
deep_sets_mean,45678,23,1022,439.55332801385373,525,0,0,0,1,stay_best
deep_sets_mean,45678,24,1023,437.6034859591427,525,0,0,0,1,stay_best
deep_sets_mean,45678,25,1024,32.85853635257284,54,1,0,1,0,overtake_easy
deep_sets_mean,45678,26,1025,438.38790736665567,525,0,0,0,1,overtake_easy
deep_sets_mean,45678,27,1026,19.191223863200836,35,1,0,1,0,overtake_easy
deep_sets_mean,45678,28,1027,23.624187421023862,41,1,0,1,0,overtake_easy
deep_sets_mean,45678,29,1028,26.096942599548004,45,1,0,1,0,overtake_easy
deep_sets_mean,45678,30,1029,18.750220738628908,35,1,0,1,0,overtake_blocked
deep_sets_mean,45678,31,1030,32.6884504774183,55,1,0,1,0,overtake_easy
deep_sets_mean,45678,32,1031,436.789289607234,525,0,0,0,1,stay_best
deep_sets_mean,45678,33,1032,41.45501811258158,66,1,0,1,0,overtake_easy
deep_sets_mean,45678,34,1033,37.9524096157332,62,1,0,1,0,overtake_blocked
deep_sets_mean,45678,35,1034,24.711544851016374,44,1,0,1,0,overtake_easy
deep_sets_mean,45678,36,1035,57.24712591705055,70,1,0,1,0,overtake_easy
deep_sets_mean,45678,37,1036,23.86950584756897,42,1,0,1,0,overtake_blocked
deep_sets_mean,45678,38,1037,29.865145569374768,51,1,0,1,0,overtake_easy
deep_sets_mean,45678,39,1038,26.078158525476216,46,1,0,1,0,overtake_easy
deep_sets_mean,45678,40,1039,38.49971651172975,61,1,0,1,0,overtake_easy
deep_sets_mean,45678,41,1040,438.781413780727,525,0,0,0,1,overtake_easy
deep_sets_mean,45678,42,1041,45.75982677114948,58,1,0,1,0,overtake_easy
deep_sets_mean,45678,43,1042,48.7522723481333,60,1,0,1,0,overtake_easy
deep_sets_mean,45678,44,1043,45.48202683915857,56,1,0,1,0,overtake_easy
deep_sets_mean,45678,45,1044,43.68056602579087,53,1,0,1,0,overtake_blocked
deep_sets_mean,45678,46,1045,44.71122247324901,53,1,0,1,0,overtake_easy
deep_sets_mean,45678,47,1046,43.95973205499117,57,1,0,1,0,overtake_blocked
deep_sets_mean,45678,48,1047,51.913572769888546,62,1,0,1,0,overtake_easy
deep_sets_mean,45678,49,1048,44.45599972498963,56,1,0,1,0,overtake_easy
deep_sets_mean,45678,50,1049,435.89811734657025,525,0,0,0,1,overtake_easy
