iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4109,14.17,8.086,0.0,-0.00595,nan,80.61
2,8210,15.71,9.072,0.0,-0.00563,nan,83.86
3,12318,18.42,11.349,0.0,-0.00539,nan,80.28
4,16431,21.99,13.798,0.0,-0.00423,nan,72.33
5,20532,23.04,14.759,0.0,-0.0032,nan,70.09
6,24640,23.61,15.189,0.0,-0.00214,nan,71.04
7,28745,28.51,19.196,0.0,-0.00067,nan,69.65
8,32843,28.07,18.925,0.0,-0.00025,nan,80.5
9,36952,27.39,18.091,0.0,-0.00045,nan,76.22
10,41056,28.3,18.806,0.0,-0.0007,nan,76.86
11,45166,31.14,21.13,0.0,-0.00099,nan,79.27
12,49297,27.18,18.007,0.0,-0.00057,nan,73.94
13,53415,34.03,24.044,0.0,-0.00085,nan,71.22
14,57644,34.66,24.122,0.0,-0.00034,nan,72.53
15,61783,35.08,24.685,0.0,-0.00054,nan,71.22
16,65902,33.76,23.51,0.0,-0.00036,nan,72.48
17,70009,31.84,21.752,0.0,-0.00063,nan,73.96
18,74105,38.28,27.021,0.0,-0.00055,nan,74.06
19,78207,35.67,25.131,0.0,-0.00062,nan,74.02
20,82321,39.18,27.606,0.0,-0.00023,nan,74.0
21,86433,41.54,29.854,0.0,-0.00046,nan,74.74
22,90538,39.85,28.126,0.0,-0.00046,nan,73.42
23,94648,37.36,26.179,0.0,-0.0003,nan,73.67
24,98765,46.26,34.275,0.0,-0.00033,nan,72.6
25,102861,45.51,33.304,0.0,-0.00025,nan,73.94
