iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4103,22.543956,15.017091,-0.00197,31.79
2,8207,22.549451,14.961838,-0.000836,78.07
3,12305,22.032258,14.58229,-0.000787,87.5
4,16412,24.890909,16.699254,-0.000657,89.7
5,20526,23.780347,15.99661,-0.000795,82.01
6,24633,24.740964,17.011224,-0.000692,68.17
7,28743,25.849057,17.550954,-0.000716,61.14
8,32881,25.8625,17.701031,-0.000569,63.3
9,37024,25.89375,17.647646,-0.000644,64.3
10,41123,27.145695,18.707331,-0.000437,67.83
11,45236,24.628743,16.599208,-0.000505,74.23
12,49345,28.337931,19.819247,-0.000615,67.78
13,53464,26.921569,18.605287,-0.000541,71.02
14,57560,27.863946,19.490689,-0.000502,63.57
15,61682,27.66443,19.332412,-0.000591,64.49
16,65847,29.964029,21.470817,-0.000708,70.78
17,69959,30.917293,22.110525,-0.000652,72.94
18,74061,33.080645,24.225018,-0.000918,69.56
19,78182,33.504065,24.077499,-0.000628,70.83
20,82303,31.458015,22.199616,-0.000779,70.64
21,86436,34.731092,25.566022,-0.000691,65.75
22,90545,35.730435,25.991939,-0.00137,66.37
23,94673,35.282051,25.658328,-0.000634,66.22
24,98794,33.504065,24.403593,-0.001173,64.4
25,102959,38.925234,28.613193,-0.001546,66.16
