iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4106,12.256716,6.992838,-0.003759,54.73
2,8204,12.017595,6.771922,-0.003079,53.99
3,12301,12.684211,7.28402,-0.003127,53.97
4,16407,12.91195,7.459178,-0.003412,53.83
5,20510,14.099656,8.302485,-0.002877,53.2
6,24609,15.069853,9.168559,-0.003242,51.8
7,28716,15.61597,9.598291,-0.002793,51.44
8,32815,16.868313,10.608478,-0.002798,51.47
9,36931,18.052632,11.453898,-0.002905,50.59
10,41036,20.02439,13.09757,-0.002681,48.68
11,45145,20.545,13.298434,-0.002505,51.11
12,49243,22.271739,14.903952,-0.001951,48.9
13,53349,21.610526,14.291498,-0.001933,53.22
14,57445,24.824242,16.781403,-0.001694,57.12
15,61661,27.736842,19.48506,-0.001133,55.17
16,65785,31.007519,21.982982,-0.0005,53.07
17,69918,29.733813,21.035312,-0.000359,53.95
18,74024,28.513889,19.736105,-0.000472,3789.87
19,78205,30.079137,21.288331,-0.000661,33.32
20,82315,27.583893,19.188027,-0.00055,30.65
21,86434,30.511111,21.550751,-0.000538,31.33
22,90567,34.157025,24.821186,-0.000457,30.79
23,94671,30.176471,21.376731,-0.000626,30.11
24,98770,33.325203,24.068643,-0.00062,29.09
25,102878,33.398374,24.037466,-0.000502,29.1
