iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4098,11.23,6.883,0.0,-0.01121,nan,159.99
2,8202,13.91,9.332,0.0,-0.00757,nan,148.61
3,12307,20.02,14.993,0.0,-0.0102,nan,142.15
4,16419,22.35,17.262,0.0,-0.00193,nan,137.95
5,20519,24.26,19.026,0.0,-0.0039,nan,137.13
6,24642,26.6,21.117,0.0,-0.00356,nan,151.94
7,28742,30.83,25.048,0.0,-0.00261,nan,153.64
8,32848,33.66,27.61,0.0,-0.00243,nan,143.97
9,36965,36.11,29.97,0.0,-0.00126,nan,137.72
10,41113,38.41,31.877,0.0,-0.00189,nan,139.27
11,45224,41.53,34.775,0.0,-0.00142,nan,136.68
12,49350,42.54,35.83,0.0,-0.00222,nan,138.19
13,53463,44.23,37.377,0.0,-0.00182,nan,138.34
14,57564,42.72,35.993,0.0,-0.00023,nan,140.75
15,61667,48.85,41.462,0.0,-0.00167,nan,139.29
16,65818,50.01,42.806,0.0,-0.00099,nan,158.5
17,69918,46.59,39.632,0.0,-0.00068,nan,163.46
18,74022,48.28,41.244,0.0,-0.0011,nan,142.62
19,78136,52.74,45.966,0.0,-0.00125,nan,139.82
20,82245,54.79,48.085,0.0,-0.001,nan,138.52
21,86352,51.99,45.292,0.0,-0.00112,nan,138.3
22,90549,58.29,51.267,0.0,-0.00076,nan,141.87
23,94649,61.19,53.834,0.0,-0.00097,nan,143.07
24,98758,64.2,56.816,0.0,-0.00044,nan,138.74
25,102859,61.21,53.765,0.0,-0.00117,nan,137.31
