model,env_id,train_seed,episode_index,eval_seed,start_lane,episodic_return,episodic_length,collided,capped,terminated,truncated,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty2_self_attention_threshold,highway-v0,12345,1,1000,0,241.17377156350258,269,1,0,1,0,safeguarded,0.001,5,0.0030877040529802796,0.015632987022399902,222,0.8252788104089219
uncertainty2_self_attention_threshold,highway-v0,12345,2,1001,2,39.795602187910326,46,1,0,1,0,safeguarded,0.001,5,0.0029097390244082226,0.018401889130473137,35,0.7608695652173914
uncertainty2_self_attention_threshold,highway-v0,12345,3,1002,1,142.35178800553518,160,1,0,1,0,safeguarded,0.001,5,0.0029308062401469217,0.0105305640026927,131,0.81875
uncertainty2_self_attention_threshold,highway-v0,12345,4,1003,0,107.41245107172747,122,1,0,1,0,safeguarded,0.001,5,0.003205350735205699,0.027065519243478775,108,0.8852459016393442
uncertainty2_self_attention_threshold,highway-v0,12345,5,1004,2,82.51592692882116,94,1,0,1,0,safeguarded,0.001,5,0.0029837802994347354,0.012840195558965206,78,0.8297872340425532
uncertainty2_self_attention_threshold,highway-v0,12345,6,1005,1,202.80241885342764,225,1,0,1,0,safeguarded,0.001,5,0.0027453650486940102,0.017477527260780334,177,0.7866666666666666
uncertainty2_self_attention_threshold,highway-v0,12345,7,1006,1,264.2288621574904,294,1,0,1,0,safeguarded,0.001,5,0.002953162816127241,0.015131617896258831,249,0.8469387755102041
uncertainty2_self_attention_threshold,highway-v0,12345,8,1007,0,334.91753581756717,370,1,0,1,0,safeguarded,0.001,5,0.0032669871574152903,0.028020622208714485,312,0.8432432432432433
uncertainty2_self_attention_threshold,highway-v0,12345,9,1008,1,225.32665182522473,251,1,0,1,0,safeguarded,0.001,5,0.002939413820413791,0.01056070625782013,207,0.8247011952191236
uncertainty2_self_attention_threshold,highway-v0,12345,10,1009,2,179.4924741888846,202,1,0,1,0,safeguarded,0.001,5,0.0031568117566968057,0.013148452155292034,174,0.8613861386138614
uncertainty2_self_attention_threshold,highway-v0,12345,11,1010,2,77.27716165703677,88,1,0,1,0,safeguarded,0.001,5,0.0028747352801226293,0.015363913029432297,68,0.7727272727272727
uncertainty2_self_attention_threshold,highway-v0,12345,12,1011,0,54.721850025090625,63,1,0,1,0,safeguarded,0.001,5,0.0033634865031917653,0.013209260068833828,54,0.8571428571428571
