threshold,episode,seed,episodic_return,episodic_length,collided,avg_uncertainty,max_uncertainty,activation_count,activation_rate
0.0005,1,1000,435.741537334636,525,False,0.0009189431488041355,0.005120550747960806,351,0.6685714285714286
0.0005,2,1001,14.664490273035602,28,True,0.0011117091553387581,0.004953719675540924,21,0.75
0.0005,3,1002,431.3776476792929,525,False,0.0009460312330234696,0.004555477295070887,356,0.6780952380952381
0.0005,4,1003,434.26050705246325,525,False,0.0008555902400119175,0.004011140670627356,330,0.6285714285714286
0.0005,5,1004,429.0787280533116,525,False,0.0008963236613046666,0.004204816650599241,343,0.6533333333333333
0.0005,6,1005,439.98268332909316,525,False,0.0008958835789729035,0.004953645635396242,342,0.6514285714285715
0.0005,7,1006,13.718428856077436,26,True,0.0009581242747327241,0.0024000362027436495,21,0.8076923076923077
0.0005,8,1007,50.76716472269996,67,True,0.0009629655750590001,0.0030724972020834684,48,0.7164179104477612
0.0005,9,1008,427.01731655298283,525,False,0.0009355989285315791,0.004964846186339855,349,0.6647619047619048
0.0005,10,1009,298.68974639785654,375,True,0.0009284334893454797,0.00419236347079277,247,0.6586666666666666
0.0005,11,1010,428.0074328470005,525,False,0.0009380739935503308,0.004518863279372454,343,0.6533333333333333
0.0005,12,1011,436.62225908146905,525,False,0.0007866674722858338,0.005068655125796795,308,0.5866666666666667
0.0005,13,1012,14.276225070123246,27,True,0.0009818850777702647,0.002527491422370076,18,0.6666666666666666
0.0005,14,1013,436.98684534259155,525,False,0.0008323633083013452,0.0041795652359724045,322,0.6133333333333333
0.0005,15,1014,428.40168640624347,525,False,0.0008187588857808372,0.0037190518341958523,319,0.6076190476190476
0.0005,16,1015,16.533628796476982,30,True,0.0012063511348969769,0.0029758429154753685,23,0.7666666666666667
0.0005,17,1016,431.75968679326337,525,False,0.0008471395224374386,0.0037616791669279337,331,0.6304761904761905
0.0005,18,1017,33.95428863412301,49,True,0.0007438329828764093,0.002613692544400692,29,0.5918367346938775
0.0005,19,1018,428.92066328010054,525,False,0.0008943656242835069,0.005612865090370178,342,0.6514285714285715
0.0005,20,1019,31.39829183087407,47,True,0.0008422968221179388,0.0023264384362846613,28,0.5957446808510638
0.0005,21,1020,12.903015138884708,25,True,0.0011441017145989462,0.003572345245629549,17,0.68
0.0005,22,1021,435.9860233294852,525,False,0.0008036947220465489,0.0045411535538733006,311,0.5923809523809523
0.0005,23,1022,437.98996392931,525,False,0.0008578326360146179,0.004111883230507374,326,0.6209523809523809
0.0005,24,1023,438.3667806067111,525,False,0.0008208124445558323,0.0032313342671841383,331,0.6304761904761905
0.0005,25,1024,19.252074816747832,36,True,0.000678113956180621,0.0024166563525795937,20,0.5555555555555556
0.0005,26,1025,12.455510588020962,24,True,0.0010778634544597783,0.0029431639704853296,17,0.7083333333333334
0.0005,27,1026,427.66544540945875,525,False,0.0009310461032457949,0.0043659573420882225,357,0.68
0.0005,28,1027,15.277258460842697,28,True,0.0010315991486485082,0.003704397240653634,19,0.6785714285714286
0.0005,29,1028,257.32720689299396,323,True,0.0009142321647322271,0.004735046532005072,199,0.6160990712074303
0.0005,30,1029,11.213348358877194,22,True,0.000876705503039623,0.003423870075494051,14,0.6363636363636364
0.0005,31,1030,432.96452109554036,525,False,0.0009503499668235669,0.004846768919378519,345,0.6571428571428571
0.0005,32,1031,180.2930606367703,224,True,0.0008904654660812282,0.0045965430326759815,147,0.65625
0.0005,33,1032,320.369650695311,392,True,0.0008978590713477573,0.004876998253166676,255,0.6505102040816326
0.0005,34,1033,434.2323490609675,525,False,0.0008444773993514467,0.004512459505349398,328,0.6247619047619047
0.0005,35,1034,433.98573865814205,525,False,0.0008475177895334561,0.004897835664451122,333,0.6342857142857142
0.0005,36,1035,437.3648113790074,525,False,0.000874302307995441,0.005013338755816221,341,0.6495238095238095
0.0005,37,1036,432.83361522701875,525,False,0.0008099891682303721,0.004133210051804781,325,0.6190476190476191
0.0005,38,1037,433.39919505013796,525,False,0.0009080176077882892,0.004318410996347666,352,0.6704761904761904
0.0005,39,1038,431.3470995642492,525,False,0.0009487128179690834,0.004846223630011082,365,0.6952380952380952
0.0005,40,1039,20.56452480674761,38,True,0.0008853010970740701,0.002306443639099598,28,0.7368421052631579
0.0005,41,1040,432.0851488296608,525,False,0.000859810644182116,0.0034575876779854298,336,0.64
0.0005,42,1041,336.61100135358606,417,True,0.0008802127676165319,0.004042497370392084,281,0.6738609112709832
0.0005,43,1042,429.6420999337856,525,False,0.0009613801589009762,0.004826565273106098,361,0.6876190476190476
0.0005,44,1043,431.5764253315846,525,False,0.0008045018482274221,0.0033395944628864527,328,0.6247619047619047
0.0005,45,1044,434.74113920189444,525,False,0.0008075945885779913,0.005396479275077581,323,0.6152380952380953
0.0005,46,1045,419.1664971206862,525,False,0.0008861801636296496,0.00401701545342803,344,0.6552380952380953
0.0005,47,1046,152.9450473012505,189,True,0.0008667602318353833,0.004745834041386843,122,0.6455026455026455
0.0005,48,1047,434.7281640866326,525,False,0.0008289532028911275,0.004161348566412926,331,0.6304761904761905
0.0005,49,1048,19.42714767558276,34,True,0.0012226001597488957,0.0041271173395216465,25,0.7352941176470589
0.0005,50,1049,434.27351553022714,525,False,0.0009258733167579131,0.003989416640251875,353,0.6723809523809524
