checkpoint,config_name,train_seed,eval_seeds,eval_type,lane_policy,avg_episodic_return,avg_episodic_length,collision_rate,lane_counts,scenario_counts,noncollision_episode_lengths
C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_single_stage2_full_20260504_201633\checkpoint_actor.pth,curriculum_stage_2_easy_overtake,12345,1000-1049,full,center,59.16178187167745,81.4,0.9,"{1: 50}","{'overtake_blocked': 8, 'overtake_easy': 37, 'stay_best': 5}","[525, 525, 525, 525, 525]"
C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_single_stage2_full_20260504_201633\checkpoint_actor.pth,curriculum_stage_2_easy_overtake,12345,1000-1049,full,random,240.0196658536917,293.44,0.48,"{0: 12, 1: 21, 2: 17}","{'overtake_blocked': 8, 'overtake_easy': 36, 'stay_best': 6}","[525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525]"
