episode,seed,episodic_return,episodic_length,collided
1,1000,48.759408880790865,68,True
2,1001,199.1400309299225,242,True
3,1002,21.922633630924473,44,True
4,1003,42.37739119855165,65,True
5,1004,499.1665422637657,600,False
6,1005,502.34073257519736,600,False
7,1006,15.838153338656243,34,True
8,1007,488.5183828415949,600,True
9,1008,24.93246706934017,47,True
10,1009,498.73082702924734,600,False
11,1010,482.0591451271005,595,True
12,1011,477.2803298275021,577,True
13,1012,43.32117728217768,57,True
14,1013,43.24052521990608,53,True
15,1014,46.072438656180644,74,True
16,1015,19.041908275458336,39,True
17,1016,17.93669942506619,38,True
18,1017,498.60227656611414,600,False
19,1018,94.01017634009648,121,True
20,1019,23.97268795008073,47,True
21,1020,239.51613276910575,289,True
22,1021,42.6467683562583,55,True
23,1022,151.5173474639134,187,True
24,1023,177.35905644752063,216,True
25,1024,25.112680025109412,48,True
26,1025,498.65404498241105,600,False
27,1026,13.778772925181336,30,True
28,1027,26.397725521557277,37,True
29,1028,19.74717981381712,40,True
30,1029,13.025994039847902,29,True
31,1030,25.098081858989158,49,True
32,1031,501.40242843211405,600,False
33,1032,29.22414632696984,55,True
34,1033,499.1072204907307,600,False
35,1034,17.767864588119053,38,True
36,1035,50.92591760855944,66,True
37,1036,19.282327165874168,35,True
38,1037,21.75892815026625,44,True
39,1038,16.90034967850875,35,True
40,1039,22.766749999675415,46,True
41,1040,48.74745322032088,61,True
42,1041,499.71208283228515,600,False
43,1042,461.1087651993305,576,True
44,1043,46.26855920508223,58,True
45,1044,50.33490111345371,63,True
46,1045,499.9756314958624,600,False
47,1046,290.64811376072174,372,True
48,1047,498.5338452140952,600,False
49,1048,499.1336825461185,600,False
50,1049,499.9381705622788,600,False
