episode,seed,episodic_return,episodic_length,collided
1,1000,47.86893063578078,61,True
2,1001,509.76912712416686,600,False
3,1002,22.460009945061884,39,True
4,1003,39.98877945506994,49,True
5,1004,381.1558862777205,451,True
6,1005,511.61164494378534,600,False
7,1006,19.54862964430002,31,True
8,1007,66.75178627556582,82,True
9,1008,25.724805207607623,40,True
10,1009,152.30405169770796,189,True
11,1010,41.65806531829903,59,True
12,1011,44.318498557672484,55,True
13,1012,34.759684910648296,46,True
14,1013,37.84542131219351,45,True
15,1014,37.700108201325016,54,True
16,1015,24.03641954825637,35,True
17,1016,19.870868822716666,34,True
18,1017,42.901719007678565,52,True
19,1018,509.8013236016526,600,False
20,1019,24.65851836525891,40,True
21,1020,206.54781954840297,254,True
22,1021,37.07785031737174,46,True
23,1022,506.3953019326587,600,False
24,1023,508.47067165755476,600,False
25,1024,21.742383987745068,40,True
26,1025,75.9159324344842,93,True
27,1026,17.7029408049157,28,True
28,1027,21.168917723653628,33,True
29,1028,21.951180771620812,36,True
30,1029,12.637345350354327,27,True
31,1030,31.8943326611117,49,True
32,1031,101.47152787962766,122,True
33,1032,26.59328943589764,45,True
34,1033,124.66644140695952,145,True
35,1034,19.167113923374735,34,True
36,1035,43.870453278225966,51,True
37,1036,21.28214468592549,32,True
38,1037,22.963620762634765,39,True
39,1038,20.894325124399558,32,True
40,1039,23.048418595253548,41,True
41,1040,220.72233421662892,273,True
42,1041,509.627993368161,600,False
43,1042,103.16075671902433,133,True
44,1043,39.08328470020748,49,True
45,1044,38.30358266176239,51,True
46,1045,116.50296926880927,136,True
47,1046,37.43590742513975,49,True
48,1047,39.856989488656545,47,True
49,1048,508.81391651893694,600,False
50,1049,66.46438835825572,82,True
