episode,seed,episodic_return,episodic_length,collided
1,1000,30.31597140564164,41,True
2,1001,155.30483412895597,189,True
3,1002,19.90573490901809,36,True
4,1003,37.0136578887941,55,True
5,1004,132.95127589586974,153,True
6,1005,107.47558881620164,131,True
7,1006,17.750599574029614,29,True
8,1007,37.80327788754231,55,True
9,1008,18.455471401172034,36,True
10,1009,77.42604768749138,108,True
11,1010,34.3212150721359,52,True
12,1011,31.691856289076927,40,True
13,1012,19.13067237561001,34,True
14,1013,123.82884285348051,146,True
15,1014,26.597044032261643,46,True
16,1015,17.376912152552535,32,True
17,1016,16.182706253477008,31,True
18,1017,23.31323220826435,33,True
19,1018,107.15028724315411,124,True
20,1019,19.787213530008433,37,True
21,1020,128.45222732836592,165,True
22,1021,148.89480453468067,162,True
23,1022,127.22113752339017,151,True
24,1023,83.4547427173814,99,True
25,1024,19.09745174527235,36,True
26,1025,13.391479201084497,27,True
27,1026,12.947467318398218,26,True
28,1027,16.50718423082448,31,True
29,1028,18.062868001032566,33,True
30,1029,12.493722384588507,26,True
31,1030,21.441779572009313,38,True
32,1031,71.65808225968048,87,True
33,1032,23.776906994018784,41,True
34,1033,179.01592158389025,217,True
35,1034,15.462345827010765,31,True
36,1035,147.32893070061309,170,True
37,1036,15.842372353475932,30,True
38,1037,19.108812333659447,35,True
39,1038,15.788845595060401,30,True
40,1039,20.149404828933694,37,True
41,1040,53.74139747994643,66,True
42,1041,248.68195204109412,276,True
43,1042,147.62881049833067,180,True
44,1043,87.38079994077135,106,True
45,1044,126.93665512111568,140,True
46,1045,90.76745464648776,111,True
47,1046,25.214882344409986,37,True
48,1047,170.8461698510933,190,True
49,1048,144.75265454716532,171,True
50,1049,38.59668664783344,53,True
