step,uncertainty,activated,action_0,action_1
1,0.0005282452912069857,False,0.15753799676895142,0.027211802080273628
2,0.00033581964089535177,False,0.15760084986686707,0.02717948891222477
3,0.0001489437563577667,False,0.15765994787216187,0.026939885690808296
4,0.00010937859769910574,False,0.15771649777889252,0.026512224227190018
5,0.0007595766801387072,False,0.1577681303024292,0.025878408923745155
6,0.0005739546613767743,False,0.1578185260295868,0.02497629076242447
7,0.0003775876248255372,False,0.157883882522583,0.023904474452137947
8,4.6158449549693614e-05,False,0.15981589257717133,0.02491174452006817
9,0.00016855598369147629,False,0.16069704294204712,0.025371743366122246
10,0.0005433386540971696,False,0.16115930676460266,0.02517886273562908
11,9.92291170405224e-05,False,0.16143468022346497,0.024703003466129303
12,0.0006614323356188834,False,0.1615658700466156,0.024180030450224876
13,0.0004431926354300231,False,0.1614615023136139,0.02305898442864418
14,0.00040883265319280326,False,0.16900241374969482,0.02338712476193905
15,0.0008516564266756177,False,0.1683904528617859,0.022229284048080444
16,0.0001851638953667134,False,0.1678330898284912,0.021055415272712708
17,0.0001995581405935809,False,0.1673780083656311,0.019613970071077347
18,5.5703523685224354e-05,False,0.14898665249347687,-0.005643881391733885
19,0.0009030975052155554,False,0.14997237920761108,-0.007575734984129667
20,0.0003580538323149085,False,0.1515524685382843,-0.01001196913421154
21,0.00026337936287745833,False,0.15135742723941803,-0.011941162869334221
22,0.0001177455997094512,False,0.15114128589630127,-0.013806231319904327
23,0.0005138503038324416,False,0.15095120668411255,-0.01555580459535122
24,0.0004356558492872864,False,0.15075121819972992,-0.017196685075759888
25,0.0008432503673247993,False,0.15058235824108124,-0.018700020387768745
26,0.00024954628315754235,False,0.15038400888442993,-0.0201029684394598
27,0.00027308400603942573,False,0.15011563897132874,-0.021381838247179985
28,0.0009081974276341498,False,0.14985045790672302,-0.02249087207019329
29,8.90926385181956e-05,False,0.14962443709373474,-0.023421164602041245
30,0.0002405665145488456,False,0.14931875467300415,-0.02424970455467701
31,0.0003003750753123313,False,0.1499609649181366,-0.007107777055352926
32,0.00045188708463683724,False,0.14985454082489014,-0.008196480572223663
33,7.41912517696619e-05,False,0.14972370862960815,-0.009230613708496094
34,0.0003782352723646909,False,0.14960187673568726,-0.010172437876462936
35,0.0004902675864286721,False,0.14950773119926453,-0.01100885309278965
36,6.054949608369498e-06,False,0.14948350191116333,-0.011719871312379837
37,0.000252022611675784,False,0.14949586987495422,-0.012335563078522682
38,0.00025304380687884986,False,0.14952264726161957,-0.012826040387153625
39,0.0009696658817119896,False,0.14956386387348175,-0.013187263160943985
40,0.00024467468028888106,False,0.14969299733638763,-0.013478824868798256
41,0.0009906751802191138,False,0.14984482526779175,-0.013642661273479462
42,0.0009500570595264435,False,0.15000969171524048,-0.01367201842367649
43,0.0002526237512938678,False,0.15018479526042938,-0.013568790629506111
44,0.0004343042091932148,False,0.15037450194358826,-0.013341989368200302
45,0.0009658800554461777,False,0.150577574968338,-0.012993235141038895
