iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4119,23.01,14.525,14.95,-0.00235,0.0005,162.8
2,8218,24.25,15.131,15.587,-0.00093,0.00053,142.38
3,12339,23.15,14.425,14.812,-0.00097,0.00056,136.17
4,16438,25.62,16.358,16.8,-0.00152,0.00059,18482.12
5,20550,26.88,17.265,17.77,-0.0008,0.00063,125.31
6,24671,25.44,16.446,16.949,-0.00073,0.00065,113.44
7,28807,25.22,16.135,16.599,-0.00104,0.00072,113.93
8,32917,25.69,16.404,16.866,-0.00095,0.00077,113.82
9,37040,28.63,19.098,19.617,-0.00053,0.00081,116.07
10,41162,26.42,16.488,16.979,-0.00081,0.00088,114.42
11,45290,29.91,19.455,20.01,-0.00097,0.00094,114.14
12,49386,30.12,19.918,20.479,-0.00055,0.00103,113.49
13,53500,29.81,19.194,19.743,-0.00102,0.00108,114.29
14,57653,38.1,26.338,26.995,-0.00092,0.00118,115.58
15,61765,33.43,22.86,23.498,-0.00136,0.00126,116.47
16,65862,33.58,22.438,23.062,-8e-05,0.0014,118.28
17,70228,39.33,27.226,27.965,-0.00134,0.00151,125.47
18,74352,36.82,25.191,25.849,-0.00031,0.00162,118.69
19,78456,37.31,26.183,26.899,-0.00076,0.00173,116.96
20,82589,38.63,26.662,27.315,-0.00139,0.00191,119.25
21,86699,39.9,27.865,28.562,-0.00066,0.00206,117.88
22,90795,51.2,36.226,37.128,5e-05,0.00227,117.79
23,94892,45.02,31.696,32.544,-0.00079,0.00254,118.07
24,99047,46.69,32.849,33.643,-0.00019,0.00275,119.44
25,103181,45.93,32.581,33.404,-0.00038,0.00298,127.53
