threshold,episode,seed,episodic_return,episodic_length,collided,avg_uncertainty,max_uncertainty,activation_count,activation_rate
0.0005,1,1000,485.06014634105213,600,False,0.0008294663803038323,0.003926927223801613,366,0.61
0.0005,2,1001,17.25816419069451,36,True,0.0010712490495481891,0.003431802149862051,27,0.75
0.0005,3,1002,486.2174218988347,600,False,0.0008133640100701692,0.005531942471861839,378,0.63
0.0005,4,1003,490.4034652799606,600,False,0.0007965252902613429,0.004890399053692818,368,0.6133333333333333
0.0005,5,1004,490.1005694492159,600,False,0.0008285221416417699,0.0042513515800237656,365,0.6083333333333333
0.0005,6,1005,502.29456471384424,600,False,0.0007962885640578558,0.004008078016340733,372,0.62
0.0005,7,1006,490.4470576262604,600,False,0.0008433114348857392,0.0042210109531879425,381,0.635
0.0005,8,1007,494.8067282791157,600,False,0.0007618365753630012,0.006011069752275944,353,0.5883333333333334
0.0005,9,1008,25.34016191609406,47,True,0.0008353690593255723,0.0018379625398665667,32,0.6808510638297872
0.0005,10,1009,391.0391007929981,485,True,0.0009580163828882787,0.0039058602415025234,321,0.6618556701030928
0.0005,11,1010,46.75439283571089,65,True,0.0010076301762287935,0.002753976034000516,47,0.7230769230769231
0.0005,12,1011,499.4268637252277,600,False,0.0007768808742154458,0.005278916098177433,355,0.5916666666666667
0.0005,13,1012,34.60901241209234,53,True,0.0008778621089526118,0.0027513664681464434,37,0.6981132075471698
0.0005,14,1013,499.2131214070664,600,False,0.0008086200103067161,0.004392738454043865,369,0.615
0.0005,15,1014,48.27398324537897,76,True,0.0009631620435979322,0.004432613030076027,48,0.631578947368421
0.0005,16,1015,23.93506278033331,45,True,0.000801629154496671,0.004186548292636871,29,0.6444444444444445
0.0005,17,1016,493.94871602008476,600,False,0.000825540951181362,0.007817736826837063,355,0.5916666666666667
0.0005,18,1017,494.6930486081987,600,False,0.0008511938968392012,0.0034506910014897585,385,0.6416666666666667
0.0005,19,1018,62.20586300674002,103,True,0.0008475970098515972,0.003305100603029132,69,0.6699029126213593
0.0005,20,1019,49.5263627767492,63,True,0.0010769950315570606,0.0029689406510442495,44,0.6984126984126984
0.0005,21,1020,497.25790079554173,600,False,0.0008359061023171914,0.004270375240594149,368,0.6133333333333333
0.0005,22,1021,494.07557460984225,600,False,0.0008543162073995821,0.005147595424205065,386,0.6433333333333333
0.0005,23,1022,502.1034791123054,600,False,0.0008335674653259654,0.004825897049158812,389,0.6483333333333333
0.0005,24,1023,500.8181812642009,600,False,0.00078248712758068,0.003644669195637107,347,0.5783333333333334
0.0005,25,1024,37.22750582491064,52,True,0.0008988024998801008,0.003433466888964176,37,0.7115384615384616
0.0005,26,1025,14.77092368193016,31,True,0.0009545986389228699,0.003338228678330779,21,0.6774193548387096
0.0005,27,1026,14.321608025593385,30,True,0.001051223766747474,0.0028847497887909412,20,0.6666666666666666
0.0005,28,1027,18.10692777033272,36,True,0.0009182405497590986,0.002539674751460552,24,0.6666666666666666
0.0005,29,1028,491.3518328330563,600,False,0.0008309661279114758,0.004020125139504671,380,0.6333333333333333
0.0005,30,1029,44.05198484638942,62,True,0.0010196475568884653,0.0028175816405564547,43,0.6935483870967742
0.0005,31,1030,39.123493785704405,51,True,0.001017099459097474,0.0038227348122745752,39,0.7647058823529411
0.0005,32,1031,462.7374644425771,568,True,0.000874300534557163,0.0075332424603402615,365,0.6426056338028169
0.0005,33,1032,40.04451554222991,55,True,0.0009862330015907488,0.0034218919463455677,37,0.6727272727272727
0.0005,34,1033,498.30902729974724,600,False,0.0008429013276130111,0.004841865971684456,384,0.64
0.0005,35,1034,181.02146641202796,230,True,0.0007875070724643908,0.00414179265499115,141,0.6130434782608696
0.0005,36,1035,61.18832109787899,74,True,0.0008490941322265457,0.0033975772093981504,46,0.6216216216216216
0.0005,37,1036,17.43875757577641,35,True,0.000921036656031252,0.0027737037744373083,22,0.6285714285714286
0.0005,38,1037,36.515937798916234,51,True,0.001014886580949179,0.0045571886003017426,34,0.6666666666666666
0.0005,39,1038,34.067051395506496,50,True,0.0008754125448467675,0.0026849752757698298,32,0.64
0.0005,40,1039,40.39566068605064,54,True,0.0009424512454306414,0.0036403073463588953,36,0.6666666666666666
0.0005,41,1040,494.0366425583999,600,False,0.0008145986190023299,0.0035142803099006414,355,0.5916666666666667
0.0005,42,1041,93.11778558996645,142,True,0.0008358334800223148,0.003935550805181265,85,0.5985915492957746
0.0005,43,1042,21.301939531552044,42,True,0.0009154406115201363,0.0038745771162211895,26,0.6190476190476191
0.0005,44,1043,59.11361866253276,74,True,0.000831887514200266,0.005287463311105967,41,0.5540540540540541
0.0005,45,1044,52.44691410975081,64,True,0.0009167232595927999,0.0038377230521291494,46,0.71875
0.0005,46,1045,137.81032449675396,193,True,0.0008314570988584,0.003975252155214548,115,0.5958549222797928
0.0005,47,1046,90.24497186743578,115,True,0.0007780177267546685,0.006534111686050892,65,0.5652173913043478
0.0005,48,1047,496.74929459954325,600,False,0.0007995275821993649,0.0050953831523656845,357,0.595
0.0005,49,1048,494.45976007822065,600,False,0.0008489745100875249,0.0038346010260283947,385,0.6416666666666667
0.0005,50,1049,491.9072444670212,600,False,0.0008284307675883914,0.004173447377979755,366,0.61
