model,env_id,train_seed,episode_index,eval_seed,start_lane,episodic_return,episodic_length,collided,capped,terminated,truncated,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
mlp_baseline,highway-v0,45678,1,1000,0,500.4466973538804,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,2,1001,2,500.6056778026096,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,3,1002,1,500.77237108421156,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,4,1003,0,500.51712564128775,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,5,1004,2,343.98373585818825,413,1,0,1,0,actor,,,,,,
mlp_baseline,highway-v0,45678,6,1005,1,500.70013497646227,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,7,1006,1,500.8357713406661,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,8,1007,0,500.4057967114432,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,9,1008,1,500.73646544327414,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,10,1009,2,500.6506276630347,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,11,1010,2,500.57216468991135,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,12,1011,0,500.4189388155155,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,13,1012,2,500.7391572227978,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,14,1013,0,500.425666882941,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,15,1014,1,500.81521789450676,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,16,1015,1,500.7562715735644,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,17,1016,1,257.41880938337766,309,1,0,1,0,actor,,,,,,
mlp_baseline,highway-v0,45678,18,1017,2,500.5628425948174,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,19,1018,2,500.71738205164974,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,20,1019,1,500.77326022127795,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,21,1020,2,500.6479312991938,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,22,1021,0,500.38967575500857,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,23,1022,2,135.62641583451588,163,1,0,1,0,actor,,,,,,
mlp_baseline,highway-v0,45678,24,1023,0,500.4053154128522,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,25,1024,1,500.8220552750045,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,26,1025,2,500.67805664995285,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,27,1026,1,500.77894590813037,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,28,1027,1,500.7287637460971,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,29,1028,1,500.8000257874752,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,30,1029,1,500.7688680721393,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,31,1030,1,500.7443951659132,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,32,1031,2,500.56485097643025,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,33,1032,1,500.7877860144375,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,34,1033,1,500.77629899179976,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,35,1034,1,500.7869516351733,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,36,1035,0,500.6616357190574,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,37,1036,1,500.7316074300246,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,38,1037,1,500.75283900252197,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,39,1038,1,500.83341432491846,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,40,1039,1,500.7370037655945,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,41,1040,0,500.3118828651263,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,42,1041,2,500.5796496324801,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,43,1042,2,500.6924279652589,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,44,1043,2,500.54568801384346,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,45,1044,0,500.57563744765827,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,46,1045,2,500.5884341583995,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,47,1046,0,500.59648381571077,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,48,1047,0,500.4350545505756,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,49,1048,2,500.53149997129805,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,45678,50,1049,2,500.6332897570627,600,0,0,0,1,actor,,,,,,
