iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4100,8.09,4.046,0.0,-0.00927,nan,144.29
2,8206,8.07,4.039,0.0,-0.00859,nan,152.64
3,12308,9.14,4.973,0.0,-0.0103,nan,173.07
4,16411,11.09,6.678,0.0,-0.01371,nan,147.04
5,20536,14.58,9.722,0.0,-0.01396,nan,137.79
6,24638,25.32,19.05,0.0,-0.00808,nan,134.91
7,28744,36.02,28.189,0.0,-0.00263,nan,134.18
8,32847,35.68,27.865,0.0,-0.00037,nan,136.13
9,36948,36.62,28.681,0.0,-0.00169,nan,137.02
10,41061,36.4,28.548,0.0,-0.00072,nan,137.65
11,45161,40.59,32.435,0.0,-0.0007,nan,141.69
12,49260,41.83,33.421,0.0,-0.00086,nan,139.24
13,53367,44.64,35.562,0.0,-0.00232,nan,137.22
14,57477,48.93,39.208,0.0,-0.00067,nan,134.8
15,61584,57.85,46.652,0.0,-0.001,nan,135.59
16,65683,57.73,46.517,0.0,-0.00088,nan,138.7
17,69827,60.94,49.031,0.0,-0.00117,nan,136.87
18,73938,77.57,62.994,0.0,-0.00032,nan,135.94
19,78079,78.13,63.304,0.0,-0.00069,nan,132.78
20,82304,76.82,62.253,0.0,-0.0007,nan,131.81
21,86469,86.77,70.671,0.0,-0.00106,nan,130.01
22,90759,115.95,95.127,0.0,-0.00108,nan,133.6
23,94892,87.94,71.752,0.0,-0.00055,nan,129.56
24,99080,99.71,81.803,0.0,-0.00196,nan,132.94
25,103216,165.44,136.886,0.0,-0.00136,nan,130.51
