model,env_id,train_seed,episode_index,eval_seed,start_lane,episodic_return,episodic_length,collided,capped,terminated,truncated,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty2_self_attention_threshold,highway-v0,23456,1,1000,0,501.0673363943704,600,0,0,0,1,safeguarded,0.001,5,0.00421943609881661,0.03075951524078846,532,0.8866666666666667
uncertainty2_self_attention_threshold,highway-v0,23456,2,1001,2,63.529455456497175,76,1,0,1,0,safeguarded,0.001,5,0.003888197443685433,0.015992334112524986,68,0.8947368421052632
uncertainty2_self_attention_threshold,highway-v0,23456,3,1002,1,501.3349540023601,600,0,0,0,1,safeguarded,0.001,5,0.004380283602561879,0.029569653794169426,518,0.8633333333333333
uncertainty2_self_attention_threshold,highway-v0,23456,4,1003,0,501.0510955810988,600,0,0,0,1,safeguarded,0.001,5,0.0043559429376364275,0.03481680527329445,526,0.8766666666666667
uncertainty2_self_attention_threshold,highway-v0,23456,5,1004,2,501.07668234823694,600,0,0,0,1,safeguarded,0.001,5,0.00447497090693408,0.027617886662483215,529,0.8816666666666667
uncertainty2_self_attention_threshold,highway-v0,23456,6,1005,1,501.2798897346061,600,0,0,0,1,safeguarded,0.001,5,0.0043651028638366065,0.03930673375725746,529,0.8816666666666667
uncertainty2_self_attention_threshold,highway-v0,23456,7,1006,1,501.2694566436123,600,0,0,0,1,safeguarded,0.001,5,0.004315611268078404,0.037477873265743256,537,0.895
uncertainty2_self_attention_threshold,highway-v0,23456,8,1007,0,501.09855046053394,600,0,0,0,1,safeguarded,0.001,5,0.0043490613295459,0.036221276968717575,522,0.87
uncertainty2_self_attention_threshold,highway-v0,23456,9,1008,1,501.29293715713055,600,0,0,0,1,safeguarded,0.001,5,0.004132211462104654,0.02930750884115696,525,0.875
uncertainty2_self_attention_threshold,highway-v0,23456,10,1009,2,501.0474719081904,600,0,0,0,1,safeguarded,0.001,5,0.00446660892732325,0.036000918596982956,523,0.8716666666666667
uncertainty2_self_attention_threshold,highway-v0,23456,11,1010,2,500.96244214563364,600,0,0,0,1,safeguarded,0.001,5,0.004127840688949315,0.024017181247472763,517,0.8616666666666667
uncertainty2_self_attention_threshold,highway-v0,23456,12,1011,0,501.1266298365805,600,0,0,0,1,safeguarded,0.001,5,0.004380908400653425,0.029992468655109406,538,0.8966666666666666
uncertainty2_self_attention_threshold,highway-v0,23456,13,1012,2,501.24310198699845,600,0,0,0,1,safeguarded,0.001,5,0.004405191006420258,0.028663601726293564,527,0.8783333333333333
uncertainty2_self_attention_threshold,highway-v0,23456,14,1013,0,501.1722789644744,600,0,0,0,1,safeguarded,0.001,5,0.004293483179438529,0.028200220316648483,532,0.8866666666666667
uncertainty2_self_attention_threshold,highway-v0,23456,15,1014,1,501.3280778151791,600,0,0,0,1,safeguarded,0.001,5,0.004109462431964251,0.02414708212018013,530,0.8833333333333333
uncertainty2_self_attention_threshold,highway-v0,23456,16,1015,1,501.4554441529065,600,0,0,0,1,safeguarded,0.001,5,0.004647027165495577,0.05176196247339249,534,0.89
uncertainty2_self_attention_threshold,highway-v0,23456,17,1016,1,501.2786968522087,600,0,0,0,1,safeguarded,0.001,5,0.004583319400007895,0.037109050899744034,539,0.8983333333333333
uncertainty2_self_attention_threshold,highway-v0,23456,18,1017,2,501.22829647619795,600,0,0,0,1,safeguarded,0.001,5,0.0043147334516288535,0.024794112890958786,548,0.9133333333333333
uncertainty2_self_attention_threshold,highway-v0,23456,19,1018,2,496.202882450168,595,1,0,1,0,safeguarded,0.001,5,0.004719015709814193,0.029984986409544945,521,0.8756302521008403
