"model","train_seed","episode_index","eval_seed","episodic_return","episodic_length","collided","capped","terminated","truncated","scenario","run_index","run_id"
"deep_sets_mean_max","12345","40","1039","69.13568294449675","91","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","41","1040","435.5985012999276","525","0","0","0","1","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","42","1041","49.82724016256724","65","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","43","1042","437.72426969268105","525","0","0","0","1","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","44","1043","51.19062358941863","66","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","45","1044","43.92975177078609","55","1","0","1","0","overtake_blocked","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","46","1045","437.97307705727604","525","0","0","0","1","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","47","1046","56.49272863134884","72","1","0","1","0","overtake_blocked","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","48","1047","44.420564506796474","55","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","49","1048","47.045532100454636","62","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","50","1049","435.6961222947074","525","0","0","0","1","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","23456","1","1000","33.249290729925356","42","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","2","1001","439.03634491725165","525","0","0","0","1","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","3","1002","31.282328057879685","47","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","4","1003","38.048309690108844","49","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","5","1004","444.3850002769328","525","0","0","0","1","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","6","1005","447.9809608437093","525","0","0","0","1","stay_best","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","7","1006","22.35847866109808","36","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","8","1007","41.58767856475483","49","1","0","1","0","overtake_blocked","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","9","1008","24.916589142179433","40","1","0","1","0","overtake_blocked","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","10","1009","164.8408878044539","199","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","11","1010","391.0703126665056","472","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","12","1011","32.922260102812615","39","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","13","1012","444.1169428631635","525","0","0","0","1","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","14","1013","38.152910395737635","47","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
