iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4108,21.74,13.875,13.956,-0.00171,0.00015,73.17
2,8209,21.93,14.159,14.24,-0.0006,0.00014,73.01
3,12325,21.66,13.945,14.027,-0.00134,0.00014,73.44
4,16439,22.73,14.54,14.623,-0.00059,0.00014,72.95
5,20546,25.04,16.469,16.564,-0.00135,0.00014,72.83
6,24648,23.99,15.611,15.696,-0.00104,0.00014,78.83
7,28757,24.75,16.473,16.555,-0.00052,0.00014,77.53
8,32873,24.5,15.772,15.86,-0.00063,0.00014,86.58
9,36973,25.62,17.258,17.346,-0.00081,0.00014,87.58
10,41085,27.6,18.484,18.586,-0.00056,0.00014,90.98
11,45215,27.53,18.415,18.513,-0.00045,0.00014,2863.75
12,49314,26.45,17.602,17.698,-0.00069,0.00014,93.76
13,53416,25.17,16.349,16.439,-0.00076,0.00014,89.09
14,57515,27.51,18.237,18.334,-0.00097,0.00015,91.41
15,61649,28.51,19.139,19.247,-0.00022,0.00016,90.23
16,65772,27.49,18.668,18.77,-0.0008,0.00017,89.1
17,69921,30.28,20.161,20.269,-0.00094,0.00018,90.92
18,74043,31.47,21.798,21.918,-0.0,0.00019,89.19
19,78162,27.28,18.373,18.465,-0.00076,0.00019,88.26
20,82262,31.3,21.259,21.372,-0.00055,0.00021,88.59
21,86393,30.6,21.2,21.31,-0.00028,0.00023,549.62
22,90517,30.1,20.243,20.355,-0.00057,0.00026,91.72
23,94621,31.09,21.251,21.365,-0.00062,0.00028,89.09
24,98746,31.73,21.8,21.919,-0.00031,0.00031,90.79
25,102862,31.91,21.97,22.084,-0.00026,0.00034,88.81
