model,seed,episodic_return,episodic_length,collided
uncertainty_aware_lambda_0.01,1000,19.08234823602345,34,1
uncertainty_aware_lambda_0.01,1001,12.439954357491048,25,1
uncertainty_aware_lambda_0.01,1002,17.36940161096091,32,1
uncertainty_aware_lambda_0.01,1003,24.407606749744414,31,1
uncertainty_aware_lambda_0.01,1004,13.270885133378062,26,1
uncertainty_aware_lambda_0.01,1005,21.540804351197284,37,1
uncertainty_aware_lambda_0.01,1006,17.95453483117152,32,1
uncertainty_aware_lambda_0.01,1007,22.643826854292993,39,1
uncertainty_aware_lambda_0.01,1008,18.867384600647444,33,1
uncertainty_aware_lambda_0.01,1009,14.794968017587514,28,1
uncertainty_aware_lambda_0.01,1010,21.81428017680434,39,1
uncertainty_aware_lambda_0.01,1011,17.23845371214782,31,1
uncertainty_aware_lambda_0.01,1012,20.020511662953194,35,1
uncertainty_aware_lambda_0.01,1013,14.391811256715004,28,1
uncertainty_aware_lambda_0.01,1014,21.387974995285763,38,1
uncertainty_aware_lambda_0.01,1015,20.81740268382927,37,1
uncertainty_aware_lambda_0.01,1016,17.42599874309997,32,1
uncertainty_aware_lambda_0.01,1017,118.81771654070693,136,1
uncertainty_aware_lambda_0.01,1018,19.866244845391222,36,1
uncertainty_aware_lambda_0.01,1019,16.721705445397816,31,1
uncertainty_aware_lambda_0.01,1020,14.250782157486148,27,1
uncertainty_aware_lambda_0.01,1021,19.8077212281173,34,1
uncertainty_aware_lambda_0.01,1022,23.963976729450785,41,1
uncertainty_aware_lambda_0.01,1023,25.032923504066552,37,1
uncertainty_aware_lambda_0.01,1024,15.759128926922587,30,1
uncertainty_aware_lambda_0.01,1025,17.968620603754623,32,1
uncertainty_aware_lambda_0.01,1026,17.87584758803876,32,1
uncertainty_aware_lambda_0.01,1027,19.51249500755195,35,1
uncertainty_aware_lambda_0.01,1028,17.8703496673611,33,1
uncertainty_aware_lambda_0.01,1029,18.891464413029777,33,1
uncertainty_aware_lambda_0.01,1030,15.252343436877945,30,1
uncertainty_aware_lambda_0.01,1031,22.99324774190596,39,1
uncertainty_aware_lambda_0.01,1032,86.77899981648159,107,1
uncertainty_aware_lambda_0.01,1033,24.604985610797534,42,1
uncertainty_aware_lambda_0.01,1034,78.93716122877508,100,1
uncertainty_aware_lambda_0.01,1035,18.462620685679695,34,1
uncertainty_aware_lambda_0.01,1036,21.914516278740262,38,1
uncertainty_aware_lambda_0.01,1037,17.60130632086859,33,1
uncertainty_aware_lambda_0.01,1038,13.84477128713144,27,1
uncertainty_aware_lambda_0.01,1039,119.67977443260013,140,1
uncertainty_aware_lambda_0.01,1040,20.70023543724043,36,1
uncertainty_aware_lambda_0.01,1041,155.874533171597,175,1
uncertainty_aware_lambda_0.01,1042,17.82033290586915,33,1
uncertainty_aware_lambda_0.01,1043,13.834108468085805,27,1
uncertainty_aware_lambda_0.01,1044,19.068046758457953,33,1
uncertainty_aware_lambda_0.01,1045,17.78067042458677,33,1
uncertainty_aware_lambda_0.01,1046,23.365548524849043,38,1
uncertainty_aware_lambda_0.01,1047,16.914147774985025,31,1
uncertainty_aware_lambda_0.01,1048,17.07886997468782,33,1
uncertainty_aware_lambda_0.01,1049,23.252984198244754,36,1
