iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4118,22.26,14.109,0.0,-0.00215,nan,74.55
2,8250,22.34,14.185,0.0,-0.0007,nan,75.34
3,12375,22.54,14.511,0.0,-0.00111,nan,70.04
4,16492,25.26,16.458,0.0,-0.0006,nan,69.71
5,20604,22.84,14.344,0.0,-0.00094,nan,68.95
6,24715,24.77,16.081,0.0,-0.00074,nan,70.07
7,28830,24.49,15.845,0.0,-0.00092,nan,69.82
8,32931,24.56,15.981,0.0,-0.00076,nan,70.02
9,37038,26.33,17.442,0.0,-0.00084,nan,69.72
10,41201,26.18,17.025,0.0,-0.00066,nan,69.83
11,45298,28.85,19.493,0.0,-0.00051,nan,69.58
12,49410,32.12,21.282,0.0,-0.0006,nan,69.63
13,53541,29.72,20.138,0.0,-0.00096,nan,69.56
14,57647,31.83,21.767,0.0,-0.00115,nan,69.1
15,61743,30.57,20.819,0.0,-0.00086,nan,69.05
16,65839,34.13,23.744,0.0,-0.00038,nan,78.09
17,69953,32.14,21.94,0.0,-0.00068,nan,71.31
18,74072,32.69,21.977,0.0,-0.00102,nan,72.07
19,78187,39.19,27.464,0.0,-5e-05,nan,69.8
20,82293,34.8,24.104,0.0,-0.00082,nan,68.82
21,86396,39.08,27.524,0.0,-0.00072,nan,68.05
22,90492,33.3,22.675,0.0,-0.00025,nan,67.88
23,94683,37.76,26.954,0.0,-0.00059,nan,70.89
24,98797,38.81,27.897,0.0,-0.00063,nan,68.61
25,102917,38.5,27.645,0.0,-0.00019,nan,68.9
