iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4097,7.3,3.022,0.0,-0.01108,nan,87.16
2,8194,7.49,3.171,0.0,-0.0073,nan,85.96
3,12292,8.4,3.874,0.0,-0.01017,nan,86.06
4,16401,10.4,5.447,0.0,-0.01514,nan,91.44
5,20503,13.91,8.213,0.0,-0.01418,nan,81.47
6,24621,20.59,13.689,0.0,-0.00594,nan,80.2
7,28734,25.08,17.557,0.0,-0.00211,nan,90.56
8,32835,25.63,17.944,0.0,-0.00154,nan,79.42
9,36970,25.21,17.83,0.0,-0.00124,nan,79.54
10,41093,27.67,19.699,0.0,-0.00169,nan,79.36
11,45213,28.81,20.607,0.0,-0.00075,nan,81.0
12,49321,32.6,23.537,0.0,-0.00112,nan,77.88
13,53436,33.46,24.476,0.0,-0.00193,nan,78.49
14,57544,28.53,20.605,0.0,-0.00319,nan,79.24
15,61668,36.82,27.105,0.0,-0.00082,nan,78.73
16,65774,32.08,23.233,0.0,-0.00157,nan,79.1
17,69887,41.55,31.059,0.0,-0.00177,nan,78.76
18,73996,43.25,32.387,0.0,-0.00164,nan,78.68
19,78095,46.58,35.2,0.0,-0.00056,nan,77.58
20,82198,58.61,45.056,0.0,-0.00196,nan,76.81
21,86329,48.03,36.094,0.0,-0.00137,nan,77.89
22,90469,58.31,44.025,0.0,-0.00073,nan,78.59
23,94642,63.23,48.271,0.0,-0.00132,nan,88.92
24,98979,74.78,58.35,0.0,-0.00107,nan,84.16
25,103260,83.94,65.995,0.0,-0.00041,nan,80.97
