model,iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,avg_raw_episodic_return,avg_critic_uncertainty,iteration_seconds
deep_sets_mean_max_baseline,25,102837,34.813559,24.183306,-0.000364,,,56.33
uncertainty_aware_lambda_0.01,25,102907,40.1,27.97,-0.00048,28.109,0.00281,99.41
