model_label,display_name,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
basic_mlp,Basic MLP,23456,17,1016,21.14254075737415,35,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,18,1017,61.67118731304489,76,1,0,1,0,overtake_blocked
basic_mlp,Basic MLP,23456,19,1018,465.88500561177807,560,0,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,20,1019,24.289208050017002,43,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,21,1020,493.61002554075935,600,1,0,1,1,overtake_easy
basic_mlp,Basic MLP,23456,22,1021,37.68824104287171,48,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,23,1022,503.4597886643592,600,0,0,0,1,stay_best
basic_mlp,Basic MLP,23456,24,1023,438.72956596848934,528,1,0,1,0,stay_best
basic_mlp,Basic MLP,23456,25,1024,24.765229545963443,43,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,26,1025,107.59365605513749,139,1,0,1,0,overtake_blocked
basic_mlp,Basic MLP,23456,27,1026,25.150141801411834,40,1,0,1,0,overtake_blocked
basic_mlp,Basic MLP,23456,28,1027,28.639679623654295,45,1,0,1,0,overtake_blocked
basic_mlp,Basic MLP,23456,29,1028,22.0154365693521,37,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,30,1029,17.763003386484506,28,1,0,1,0,overtake_blocked
basic_mlp,Basic MLP,23456,31,1030,24.488881482362196,44,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,32,1031,500.9965162151987,600,0,0,0,1,stay_best
basic_mlp,Basic MLP,23456,33,1032,27.695034583207146,48,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,34,1033,494.7969285773771,600,0,0,0,1,stay_best
basic_mlp,Basic MLP,23456,35,1034,21.710378522315743,36,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,36,1035,47.290163196502185,56,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,37,1036,29.605127484640857,46,1,0,1,0,overtake_blocked
basic_mlp,Basic MLP,23456,38,1037,23.24116777383604,40,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,39,1038,16.47607431025325,33,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,40,1039,24.22343580239109,43,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,41,1040,156.66172891379972,189,1,0,1,0,overtake_blocked
basic_mlp,Basic MLP,23456,42,1041,501.8791366077363,600,0,0,0,1,overtake_easy
basic_mlp,Basic MLP,23456,43,1042,36.03920737537755,43,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,44,1043,36.7415127945864,46,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,45,1044,42.618386146976356,55,1,0,1,0,stay_best
basic_mlp,Basic MLP,23456,46,1045,43.09789330797731,52,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,47,1046,42.02330864556192,56,1,0,1,0,overtake_blocked
basic_mlp,Basic MLP,23456,48,1047,108.26611695499744,131,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,49,1048,37.111507939973656,44,1,0,1,0,overtake_easy
basic_mlp,Basic MLP,23456,50,1049,96.65936831046344,119,1,0,1,0,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,1,1000,40.26548204869724,57,1,0,1,0,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,2,1001,36.59067400496357,46,1,0,1,0,overtake_easy
deep_sets_mean,Deep Sets mean,12345,3,1002,21.655786473937702,43,1,0,1,0,overtake_easy
deep_sets_mean,Deep Sets mean,12345,4,1003,40.78304088594509,66,1,0,1,0,overtake_easy
deep_sets_mean,Deep Sets mean,12345,5,1004,500.8194923404268,600,0,0,0,1,overtake_easy
deep_sets_mean,Deep Sets mean,12345,6,1005,312.2018748272256,372,1,0,1,0,stay_best
deep_sets_mean,Deep Sets mean,12345,7,1006,15.619861232284046,33,1,0,1,0,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,8,1007,496.5186896868146,600,0,0,0,1,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,9,1008,22.286010924820303,44,1,0,1,0,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,10,1009,213.7250378437983,271,1,0,1,0,overtake_easy
deep_sets_mean,Deep Sets mean,12345,11,1010,50.80658615423885,65,1,0,1,0,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,12,1011,384.6611494653173,468,1,0,1,0,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,13,1012,42.62709490125716,55,1,0,1,0,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,14,1013,35.690913160384206,45,1,0,1,0,overtake_easy
deep_sets_mean,Deep Sets mean,12345,15,1014,37.02690387093907,63,1,0,1,0,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,16,1015,18.574504906189922,37,1,0,1,0,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,17,1016,17.651585156392425,37,1,0,1,0,overtake_easy
deep_sets_mean,Deep Sets mean,12345,18,1017,500.4546659508663,600,0,0,0,1,overtake_blocked
deep_sets_mean,Deep Sets mean,12345,19,1018,500.4226955865516,600,0,0,0,1,overtake_easy
deep_sets_mean,Deep Sets mean,12345,20,1019,23.42831759964376,46,1,0,1,0,overtake_easy
deep_sets_mean,Deep Sets mean,12345,21,1020,38.693343022848524,47,1,0,1,0,overtake_easy
deep_sets_mean,Deep Sets mean,12345,22,1021,36.367873039035885,45,1,0,1,0,overtake_easy
deep_sets_mean,Deep Sets mean,12345,23,1022,500.4848857847069,600,0,0,0,1,stay_best
