model,config,eval_type,episodes,max_steps,avg_episodic_length,avg_episodic_return,collision_rate,checkpoint
basic_mlp,curriculum_stage_3_mixed_traffic,capped,10,300,222.5,182.545343,0.3,C:\Users\milke\groupCoursework\FYP\baseline1\curriculum_artifacts\stage3_only_all_models_100k_20260424_101952\checkpoints\basic_mlp_curriculum_final_actor.pth
basic_mlp,curriculum_stage_3_mixed_traffic,full,10,,326.4,265.181511,0.6,C:\Users\milke\groupCoursework\FYP\baseline1\curriculum_artifacts\stage3_only_all_models_100k_20260424_101952\checkpoints\basic_mlp_curriculum_final_actor.pth
