threshold,episode,seed,episodic_return,episodic_length,collided,avg_uncertainty,max_uncertainty,activation_count,activation_rate
1.0,1,1000,498.8939975961032,600,False,0.0032211066659268302,0.01357005350291729,0,0.0
1.0,2,1001,151.43258329956544,196,True,0.0031414274594031406,0.01109838392585516,0,0.0
1.0,3,1002,23.837879510620528,42,True,0.0026601951858971178,0.011093398556113243,0,0.0
1.0,4,1003,38.0762858271599,47,True,0.0028807810746737696,0.010748399421572685,0,0.0
1.0,5,1004,335.2661637827358,419,True,0.0030280279593616123,0.01418374478816986,0,0.0
1.0,6,1005,115.40080418516568,136,True,0.0030375905577303083,0.013211065903306007,0,0.0
1.0,7,1006,20.573941107566664,33,True,0.0030797919263766908,0.010408504866063595,0,0.0
1.0,8,1007,499.90457847663487,600,False,0.003094865999009926,0.017031872645020485,0,0.0
1.0,9,1008,37.70019774090917,54,True,0.003198632249324065,0.014508934691548347,0,0.0
1.0,10,1009,498.43591279083864,600,False,0.002997673566363422,0.012698519974946976,0,0.0
1.0,11,1010,47.21374255345425,62,True,0.0030761720591990817,0.01092685479670763,0,0.0
1.0,12,1011,499.5788065314937,600,False,0.003034675248239485,0.012981301173567772,0,0.0
1.0,13,1012,37.11332103479167,50,True,0.003068355725845322,0.009553370997309685,0,0.0
1.0,14,1013,38.31584269074981,46,True,0.0035213300250926177,0.013105758465826511,0,0.0
1.0,15,1014,45.72017382640712,66,True,0.003018615108554844,0.012695477344095707,0,0.0
1.0,16,1015,24.93102058299804,38,True,0.002811838273613064,0.009888406842947006,0,0.0
1.0,17,1016,22.142271644937356,36,True,0.0027561076915137367,0.010308582335710526,0,0.0
1.0,18,1017,500.5829930920672,600,False,0.002931838833422565,0.016268955543637276,0,0.0
1.0,19,1018,47.618530109113905,57,True,0.0032131076145002196,0.010305340401828289,0,0.0
1.0,20,1019,27.046567840010074,45,True,0.0028791839916569493,0.008933041244745255,0,0.0
1.0,21,1020,499.7445438945658,600,False,0.0028853322146945477,0.016934338957071304,0,0.0
1.0,22,1021,37.34214345986461,46,True,0.002710251778214866,0.007838944904506207,0,0.0
1.0,23,1022,502.25624401568945,600,False,0.0029750255200633544,0.013546696864068508,0,0.0
1.0,24,1023,501.22996190248136,600,False,0.003333570796915713,0.01821984350681305,0,0.0
1.0,25,1024,24.91685548865954,45,True,0.0037129703427328624,0.01361904852092266,0,0.0
1.0,26,1025,496.84893435177787,600,False,0.0029777710976183393,0.015512363985180855,0,0.0
1.0,27,1026,19.344189539630275,29,True,0.0033581982475127383,0.010488930158317089,0,0.0
1.0,28,1027,21.891167671882627,35,True,0.003553978693006294,0.010496389120817184,0,0.0
1.0,29,1028,24.190711314086,39,True,0.0032013628090051217,0.011275453492999077,0,0.0
1.0,30,1029,13.619800290107575,29,True,0.0020490089699361025,0.0070751323364675045,0,0.0
1.0,31,1030,31.03655430050722,47,True,0.0032351450521518736,0.007357211783528328,0,0.0
1.0,32,1031,398.3525223698164,496,True,0.0030103229273810293,0.013025563210248947,0,0.0
1.0,33,1032,28.65767009914541,51,True,0.003245024774086607,0.015137886628508568,0,0.0
1.0,34,1033,379.9435534824639,457,True,0.0028950111432523465,0.013681568205356598,0,0.0
1.0,35,1034,20.86590787492759,37,True,0.0036422157584614047,0.010504153557121754,0,0.0
1.0,36,1035,496.9406162293241,600,False,0.0030976354727135914,0.013498653657734394,0,0.0
1.0,37,1036,21.971795759849734,34,True,0.00247055156625506,0.006478083785623312,0,0.0
1.0,38,1037,24.453966371234937,42,True,0.0038825270832083853,0.010347755625844002,0,0.0
1.0,39,1038,21.77855344112456,35,True,0.002945722610456869,0.016270363703370094,0,0.0
1.0,40,1039,24.441222813173827,44,True,0.0030680767165242946,0.013819893822073936,0,0.0
1.0,41,1040,497.9168657845585,600,False,0.003295747597658192,0.02558295801281929,0,0.0
1.0,42,1041,43.25237737649741,52,True,0.002834108025126625,0.016370318830013275,0,0.0
1.0,43,1042,42.6873319356227,53,True,0.003189954152748094,0.018206020817160606,0,0.0
1.0,44,1043,40.04185266935621,50,True,0.0029915624702698553,0.008906166069209576,0,0.0
1.0,45,1044,497.2145380135058,600,False,0.0032912923842620028,0.019908320158720016,0,0.0
1.0,46,1045,500.6732466409031,600,False,0.002983329219678126,0.012947692535817623,0,0.0
1.0,47,1046,45.63336175141076,58,True,0.0030390150129498013,0.00975736416876316,0,0.0
1.0,48,1047,36.26329293644663,44,True,0.00319763771668394,0.0104939891025424,0,0.0
1.0,49,1048,43.882908440766585,53,True,0.0028971574375766134,0.01066505629569292,0,0.0
1.0,50,1049,500.5625541609298,600,False,0.003106434712171904,0.015151934698224068,0,0.0
