"config_name","vehicles_count","vehicles_density","runs","avg_eval_return","avg_eval_length","avg_collision_rate","aggregate_summary"
"highway_v0_stage_2_benchmark_v4","27","1","3","384.136811","454.6","0.34","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v4_3run_100k_20260506\aggregate_summary.csv"
"highway_v0_stage_2_benchmark_v45","29","1","3","381.986339","451.573333","0.346667","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v45_3run_100k_20260506\aggregate_summary.csv"
