episode,seed,episodic_return,episodic_length,collided
1,1000,103.19153484137041,129,True
2,1001,94.6836053905581,124,True
3,1002,16.94141111775654,29,True
4,1003,54.35289287891907,77,True
5,1004,107.35694394674405,123,True
6,1005,64.84811256911745,82,True
7,1006,17.548378299430563,26,True
8,1007,29.261207408292197,42,True
9,1008,15.174068157559368,28,True
10,1009,73.34787637002155,92,True
11,1010,156.18194549774637,167,True
12,1011,139.7761153137452,156,True
13,1012,13.010188317937978,24,True
14,1013,138.43436838145027,175,True
15,1014,21.661385554907472,36,True
16,1015,17.013582931121434,27,True
17,1016,14.345644752194008,26,True
18,1017,19.43998381846752,32,True
19,1018,127.30720952874432,145,True
20,1019,16.320025478384267,29,True
21,1020,57.59806349398129,69,True
22,1021,189.27305485172403,209,True
23,1022,67.33850167990217,81,True
24,1023,104.45973162634105,130,True
25,1024,16.641964344104032,30,True
26,1025,51.66451551231614,66,True
27,1026,11.047774855323219,21,True
28,1027,14.093238057563758,25,True
29,1028,15.555719574956424,27,True
30,1029,10.296621579559854,20,True
31,1030,18.9088548064087,32,True
32,1031,73.87132092029411,95,True
33,1032,21.832961157955832,36,True
34,1033,21.185478232059044,36,True
35,1034,13.181547252008295,25,True
36,1035,123.53206263631589,139,True
37,1036,13.861878211447857,25,True
38,1037,16.599193744578987,29,True
39,1038,13.709496705143131,25,True
40,1039,24.70111543709302,31,True
41,1040,74.12650670096976,89,True
42,1041,90.83474941397115,117,True
43,1042,84.658510573268,110,True
44,1043,84.85667057379888,111,True
45,1044,41.699175108382825,60,True
46,1045,46.83465637936423,70,True
47,1046,29.855387417911416,45,True
48,1047,80.83939679112893,100,True
49,1048,169.58057362517786,209,True
50,1049,62.05381334390614,82,True
