iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4098,20.91,12.806,13.193,-0.00145,0.00029,133.77
2,8195,21.01,12.604,12.973,-0.00113,0.00028,129.3
3,12306,21.3,12.869,13.262,-0.00112,0.00029,127.72
4,16420,22.86,14.341,14.778,-0.00093,0.00029,127.09
5,20545,25.31,16.337,16.8,-0.00068,0.00029,128.43
6,24699,24.29,14.934,15.382,-0.00086,0.00029,130.84
7,28801,25.64,16.376,16.839,-0.00095,0.00031,126.65
8,32919,26.92,17.554,18.048,-0.00064,0.00031,128.2
9,37049,27.72,17.987,18.524,-0.00059,0.00032,129.38
10,41159,27.22,17.761,18.269,-0.00066,0.00032,138.65
11,45261,26.99,17.242,17.74,-0.00092,0.00034,128.0
12,49363,25.96,16.452,16.946,-0.00084,0.00036,123.2
13,53473,28.94,19.022,19.56,-0.00039,0.00037,170.9
14,57627,28.85,19.248,19.776,-0.00077,0.0004,171.11
15,61746,28.41,18.099,18.592,-0.00048,0.0004,159.08
16,65848,29.94,20.1,20.651,-0.00107,0.00043,163.25
17,69966,33.75,23.301,23.924,-0.00115,0.00045,143.97
18,74073,34.81,23.945,24.583,-0.00094,0.0005,131.49
19,78172,33.88,22.908,23.513,-0.00039,0.00052,131.16
20,82283,36.71,25.215,25.906,-0.00113,0.00057,142.31
21,86400,31.43,20.862,21.443,-0.00118,0.00059,161.23
22,90562,34.68,23.155,23.806,-1e-05,0.00064,157.06
23,94889,38.29,26.584,27.221,-0.00102,0.00069,172.16
24,99020,36.56,24.688,25.408,-0.00116,0.00076,146.07
25,103169,40.28,27.932,28.608,0.00031,0.00081,146.12
