"model","runs","avg_eval_return","avg_eval_length","avg_collision_rate","aggregate_summary"
"deep_sets_mean_max","3","324.905693","386.473333","0.426667","C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_highwayv0_benchmark_v4_3run_100k_20260505\aggregate_summary.csv"
"self_attention","3","384.136811","454.6","0.34","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v4_3run_100k_20260506\aggregate_summary.csv"
