"model","config","eval_type","episodes","max_steps","avg_episodic_length","avg_episodic_return","collision_rate","checkpoint"
"deep_sets_mean_max","curriculum_stage_3_mixed_traffic","full","10","","360.7","295.321813","0.5","C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth"
"deep_sets_mean_max","curriculum_stage_4_dense_traffic","capped","10","300","136.8","104.505216","0.7","C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth"
"deep_sets_mean_max","curriculum_stage_4_dense_traffic","full","10","","271.9","214.013005","0.8","C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth"
"self_attention","curriculum_stage_1_open_lane","capped","10","300","148.7","115.54214","0.7","C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\self_attention_curriculum_final_actor.pth"
"self_attention","curriculum_stage_1_open_lane","full","10","","269.2","219.74926","0.5","C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\self_attention_curriculum_final_actor.pth"
"self_attention","curriculum_stage_2_easy_overtake","capped","10","300","166.5","134.951928","0.5","C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\self_attention_curriculum_final_actor.pth"
"self_attention","curriculum_stage_2_easy_overtake","full","10","","278.9","228.684221","0.5","C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\self_attention_curriculum_final_actor.pth"
"self_attention","curriculum_stage_3_mixed_traffic","capped","10","300","187.3","149.714592","0.5","C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\self_attention_curriculum_final_actor.pth"
"self_attention","curriculum_stage_3_mixed_traffic","full","10","","155.6","121.82845","0.8","C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\self_attention_curriculum_final_actor.pth"
"self_attention","curriculum_stage_4_dense_traffic","capped","10","300","73.6","47.767495","0.9","C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\self_attention_curriculum_final_actor.pth"
"self_attention","curriculum_stage_4_dense_traffic","full","10","","88.1","60.050188","1.0","C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_all_models_20260423_103950\checkpoints\self_attention_curriculum_final_actor.pth"
