"variant","seed","output_dir","avg_episodic_return","avg_episodic_length","collision_rate","avg_uncertainty_per_episode","avg_episode_max_uncertainty","avg_activations_per_episode","avg_activation_rate_per_episode","total_activations","threshold"
"meanmax_baseline","12345","C:\Users\milke\groupCoursework\FYP\experiment_runs\stage2_safeguard_3seed_foreground_20260507_153324\meanmax_baseline_seed12345","246.054577836933","300.58","0.48","","","","","",""
"uncertainty_no_safeguard","12345","C:\Users\milke\groupCoursework\FYP\experiment_runs\stage2_safeguard_3seed_foreground_20260507_153324\uncertainty_no_safeguard_seed12345","209.038535872994","255.76","0.62","0.000898952465558122","0.00384376246714965","0","0","0","1.0"
"uncertainty_safeguard","12345","C:\Users\milke\groupCoursework\FYP\experiment_runs\stage2_safeguard_3seed_foreground_20260507_153324\uncertainty_safeguard_seed12345","296.262932768077","363.02","0.4","0.000906763994630215","0.00406461470294744","234.1","0.656289873802019","11705","0.0005"
"meanmax_baseline","23456","C:\Users\milke\groupCoursework\FYP\experiment_runs\stage2_safeguard_3seed_foreground_20260507_153324\meanmax_baseline_seed23456","160.000941787838","194.08","0.78","","","","","",""
"uncertainty_no_safeguard","23456","C:\Users\milke\groupCoursework\FYP\experiment_runs\stage2_safeguard_3seed_foreground_20260507_153324\uncertainty_no_safeguard_seed23456","225.485581402758","273.78","0.52","0.00309770135007641","0.0137580535747111","0","0","0","1.0"
"uncertainty_safeguard","23456","C:\Users\milke\groupCoursework\FYP\experiment_runs\stage2_safeguard_3seed_foreground_20260507_153324\uncertainty_safeguard_seed23456","322.739003939732","393.02","0.34","0.00306064387381271","0.0147637204173952","372.96","0.946490263311649","18648","0.0005"
"meanmax_baseline","34567","C:\Users\milke\groupCoursework\FYP\experiment_runs\stage2_safeguard_3seed_foreground_20260507_153324\meanmax_baseline_seed34567","57.6977803032285","74.26","1","","","","","",""
"uncertainty_no_safeguard","34567","C:\Users\milke\groupCoursework\FYP\experiment_runs\stage2_safeguard_3seed_foreground_20260507_153324\uncertainty_no_safeguard_seed34567","61.8183436684335","78.1","1","0.000403226933874077","0.0013537750125397","0","0","0","1.0"
"uncertainty_safeguard","34567","C:\Users\milke\groupCoursework\FYP\experiment_runs\stage2_safeguard_3seed_foreground_20260507_153324\uncertainty_safeguard_seed34567","65.3211266061433","82.96","1","0.00040971803766925","0.00149550667614676","24.3","0.298368951177914","1215","0.0005"
