iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4109,21.740741,13.73794,-0.0028,37.36
2,8213,22.674033,14.684457,-0.002029,38.76
3,12319,24.73494,16.033873,-0.000663,37.95
4,16452,23.350282,15.013539,-0.00054,37.66
5,20573,23.414773,15.352118,-0.000663,38.25
6,24685,25.382716,16.987469,-0.001124,35.92
7,28784,25.147239,16.893123,-0.000952,36.17
8,32887,27.911565,19.020114,-0.000642,36.04
9,36988,29.292857,20.152389,-0.000292,38.04
10,41095,27.198675,18.463352,-0.000626,36.13
11,45214,28.406897,19.639816,-0.000605,35.16
12,49352,31.112782,21.956747,-0.000464,35.29
13,53459,28.922535,19.875654,-0.000837,35.75
14,57571,31.630769,22.133135,-0.000499,35.31
15,61681,30.220588,21.069705,-0.000665,35.22
16,65803,31.953488,22.455531,-0.000401,36.08
17,70015,31.432836,22.141435,-0.000435,38.08
18,74119,34.2,24.328397,-0.000477,36.01
19,78311,35.525424,24.976976,-0.000873,35.92
20,82426,36.415929,26.206491,-0.000643,35.92
21,86570,36.034783,26.029933,-0.001044,36.14
22,90670,35.042735,25.088887,-0.000478,35.66
23,94766,35.929825,25.773475,-0.000338,34.87
24,98873,41.484848,30.289453,-0.000335,34.69
25,103129,38.0,27.50921,-0.000464,36.48
