iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4137,20.68,12.942,0.0,-0.00245,nan,69.46
2,8262,18.75,11.347,0.0,-0.00075,nan,78.18
3,12380,18.98,11.386,0.0,-0.00119,nan,67.7
4,16499,20.09,12.415,0.0,-0.00136,nan,68.65
5,20603,21.71,13.994,0.0,-0.00076,nan,67.11
6,24709,21.27,13.597,0.0,-0.00106,nan,67.96
7,28823,21.77,13.956,0.0,-0.00122,nan,68.68
8,32928,24.29,16.092,0.0,-0.00115,nan,68.59
9,37042,23.11,15.052,0.0,-0.00032,nan,68.44
10,41181,22.87,15.07,0.0,-0.00088,nan,68.47
11,45295,22.48,14.679,0.0,-0.00103,nan,71.55
12,49404,22.45,14.681,0.0,-0.00063,nan,72.02
13,53505,23.17,15.19,0.0,-0.00099,nan,68.19
14,57604,26.28,17.63,0.0,-0.00107,nan,69.83
15,61716,26.88,18.389,0.0,-0.00099,nan,66.67
16,65834,25.58,17.1,0.0,-0.00113,nan,66.02
17,69934,26.11,17.821,0.0,-0.00127,nan,66.06
18,74056,28.04,19.169,0.0,-0.00026,nan,66.12
19,78160,28.5,19.63,0.0,-0.00048,nan,66.7
20,82257,29.47,20.516,0.0,-0.0009,nan,68.02
21,86358,25.96,17.464,0.0,-0.00081,nan,68.09
22,90455,29.69,20.524,0.0,-0.0003,nan,69.36
23,94564,27.39,18.652,0.0,-0.00056,nan,68.7
24,98673,30.89,21.683,0.0,-0.00079,nan,68.92
25,102778,28.91,19.941,0.0,-0.00055,nan,68.47
