iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4105,15.37,9.48,0.0,-0.00551,nan,85.64
2,8211,17.47,11.109,0.0,-0.0043,nan,85.78
3,12310,19.61,12.913,0.0,-0.00534,nan,103.04
4,16415,24.58,16.814,0.0,-0.00282,nan,102.14
5,20574,27.91,19.378,0.0,-0.0049,nan,99.52
6,24705,30.6,21.903,0.0,-0.00369,nan,90.34
7,28872,35.62,26.028,0.0,-0.00319,nan,95.23
8,32984,40.31,30.053,0.0,-0.0014,nan,92.58
9,37116,40.91,30.05,0.0,-0.00148,nan,109.16
10,41319,53.88,41.126,0.0,-0.00195,nan,105.92
11,45468,55.32,42.283,0.0,-0.00299,nan,105.91
12,49633,63.11,48.59,0.0,-0.00181,nan,102.01
13,53964,69.85,54.216,0.0,-0.00157,nan,104.7
14,58334,76.67,59.668,0.0,-0.00056,nan,105.63
15,62724,102.09,81.449,0.0,-0.00191,nan,105.63
16,66967,111.66,87.634,0.0,-0.00019,nan,104.36
