model,run_index,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
deep_sets_mean_max,3,34567,1,1000,22.844721985785075,39,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,2,1001,12.313804484586246,27,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,3,1002,18.22414137378686,37,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,4,1003,16.39465085262383,34,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,5,1004,14.517330395661057,29,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,6,1005,24.24028216594682,42,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,7,1006,27.10700032392072,38,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,8,1007,24.20464032849625,46,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,9,1008,24.101988404251422,37,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,10,1009,141.76413647972103,192,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,11,1010,24.12438226296128,47,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,12,1011,17.735427591697587,35,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,13,1012,24.6738338547583,40,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,14,1013,23.846439355349467,33,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,15,1014,22.953354093159728,45,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,16,1015,34.84077523899732,43,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,17,1016,22.37810992103995,36,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,18,1017,254.33882970005268,300,0,1,0,0,stay_best
deep_sets_mean_max,3,34567,19,1018,21.042630492461004,42,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,20,1019,22.768414396507115,34,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,21,1020,21.814774915237997,33,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,22,1021,18.853746641628543,39,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,23,1022,25.51306820444706,48,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,24,1023,22.989011894857274,43,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,25,1024,15.925512889068282,33,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,26,1025,18.491664424179003,36,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,27,1026,18.39822124846756,36,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,28,1027,25.702849934863124,40,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,29,1028,22.271387485785826,38,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,30,1029,28.833456959086426,40,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,31,1030,15.753555543398575,34,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,32,1031,24.212959951321775,45,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,33,1032,254.12545470286815,300,0,1,0,0,stay_best
deep_sets_mean_max,3,34567,34,1033,28.02145229442666,50,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,35,1034,217.17111772911775,270,1,0,1,0,stay_best
deep_sets_mean_max,3,34567,36,1035,21.45792543011272,39,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,37,1036,23.110242717673085,44,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,38,1037,20.6542865795878,38,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,39,1038,14.028119200174125,30,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,40,1039,253.3573591632013,300,0,1,0,0,stay_best
deep_sets_mean_max,3,34567,41,1040,25.25668743151436,40,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,42,1041,253.62740551599697,300,0,1,0,0,stay_best
deep_sets_mean_max,3,34567,43,1042,24.70138479404164,38,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,44,1043,14.03486550736079,30,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,45,1044,23.7953683320022,37,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,46,1045,18.97548846709859,39,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,47,1046,23.073003922666185,44,1,0,1,0,overtake_easy
deep_sets_mean_max,3,34567,48,1047,17.449665850715338,35,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,49,1048,17.90069989585646,38,1,0,1,0,overtake_blocked
deep_sets_mean_max,3,34567,50,1049,21.719096749947546,43,1,0,1,0,overtake_easy
