iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4098,11.45,6.458,0.0,-0.00866,nan,90.95
2,8203,13.55,8.228,0.0,-0.00393,nan,83.94
3,12309,16.36,10.425,0.0,-0.00621,nan,83.19
4,16407,21.02,14.3,0.0,-0.00291,nan,81.14
5,20552,21.93,14.96,0.0,-0.00309,nan,81.29
6,24648,26.26,18.801,0.0,-0.00293,nan,80.29
7,28745,26.78,19.406,0.0,-0.00302,nan,79.85
8,32841,32.25,23.92,0.0,-0.00209,nan,80.05
9,36970,33.84,25.475,0.0,-0.00254,nan,80.36
10,41096,35.57,26.694,0.0,-0.00097,nan,80.71
11,45220,36.5,27.278,0.0,-0.00128,nan,81.02
12,49365,41.87,31.854,0.0,-0.00124,nan,80.43
13,53480,39.19,30.099,0.0,-0.00145,nan,80.91
14,57600,40.0,31.237,0.0,-0.0017,nan,79.34
15,61702,37.98,28.652,0.0,-0.00121,nan,79.5
16,65798,46.02,36.214,0.0,-0.0011,nan,79.26
17,69928,41.3,31.934,0.0,-0.00085,nan,80.67
18,74037,43.71,34.325,0.0,-0.0009,nan,81.25
19,78137,47.13,37.327,0.0,-0.00021,nan,79.76
20,82261,45.82,35.819,0.0,-0.00073,nan,91.15
21,86381,46.82,37.099,0.0,-0.00151,nan,80.99
22,90478,50.58,40.944,0.0,-0.00031,nan,80.9
23,94629,48.27,38.322,0.0,-0.00046,nan,82.47
24,98825,48.23,38.219,0.0,-0.0014,nan,86.35
25,102974,52.52,42.469,0.0,-0.00036,nan,81.33
