"model","run_id","env_id","config_name","train_seed","target_timesteps","eval_episodes","eval_type","final_training_return","final_training_length","avg_episodic_return","avg_episodic_length","collision_rate","lane_counts","run_folder","training_log","training_summary","evaluation_per_episode","evaluation_summary","actor_checkpoint","critic_checkpoint"
"deep_sets_mean_max","meanmax_highwayv0_benchmark_v4_100k_20260505_172617","highway-v0","highway_v0_stage_2_benchmark_v4","12345","100000","50","full","45.464309","57.306667","476.889603","571.68","0.06","{""0"": 12, ""1"": 21, ""2"": 17}","C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_highwayv0_benchmark_v4_100k_20260505_172617","C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_highwayv0_benchmark_v4_100k_20260505_172617\training_log.csv","C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_highwayv0_benchmark_v4_100k_20260505_172617\training_summary.csv","C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_highwayv0_benchmark_v4_100k_20260505_172617\evaluation_per_episode.csv","C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_highwayv0_benchmark_v4_100k_20260505_172617\evaluation_summary.csv","C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_highwayv0_benchmark_v4_100k_20260505_172617\checkpoint_actor.pth","C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_highwayv0_benchmark_v4_100k_20260505_172617\checkpoint_critic.pth"
"self_attention","self_attention_highwayv0_benchmark_v4_100k_20260505_180606","highway-v0","highway_v0_stage_2_benchmark_v4","12345","100000","50","full","56.099968","64.078125","151.423743","164.02","1","{""0"": 12, ""1"": 21, ""2"": 17}","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v4_100k_20260505_180606","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v4_100k_20260505_180606\training_log.csv","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v4_100k_20260505_180606\training_summary.csv","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v4_100k_20260505_180606\evaluation_per_episode.csv","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v4_100k_20260505_180606\evaluation_summary.csv","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v4_100k_20260505_180606\checkpoint_actor.pth","C:\Users\milke\groupCoursework\FYP\experiment_runs\self_attention_highwayv0_benchmark_v4_100k_20260505_180606\checkpoint_critic.pth"
