iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,avg_action_std,iteration_seconds
1,4100,8.613445,4.793218,-0.005584,0.223018,50.33
2,8207,8.719745,4.892844,-0.002719,0.222922,50.54
3,12310,9.564103,5.646689,-0.001228,0.222874,49.62
4,16426,9.549884,5.637689,-0.001184,0.222847,48.9
5,20523,9.617371,5.702595,-0.000847,0.22283,47.94
6,24620,9.662736,5.721659,-0.001568,0.222819,47.44
