threshold,episodes,avg_episodic_return,avg_episodic_length,collision_rate,avg_uncertainty_per_episode,avg_episode_max_uncertainty,avg_activations_per_episode,avg_activation_rate_per_episode,total_activations
0.0005,50,214.24080613627277,266.46,0.68,0.0008757712136121401,0.003777147480286658,167.5,0.6465069997439585,8375
0.001,50,191.9612933622564,238.84,0.74,0.0008848720372001926,0.003800986020360142,73.06,0.32693289190909686,3653
0.0015,50,192.9959848972373,239.8,0.74,0.0008633934984187258,0.0036215696483850477,33.0,0.14721892809503243,1650
0.002,50,175.73772178574487,218.7,0.76,0.0008621426969594145,0.00354760991409421,13.5,0.06738815095395954,675
