"model","config","eval_type","episodes","max_steps","avg_episodic_length","avg_episodic_return","collision_rate"
"deep_sets_mean_max","curriculum_stage_3_mixed_traffic","capped","10","300","222.5","182.579519","0.3"
"basic_mlp","curriculum_stage_3_mixed_traffic","capped","10","300","212.6","175.31907","0.5"
"self_attention","curriculum_stage_3_mixed_traffic","capped","10","300","117.9","92.429063","0.7"
"deep_sets_mean","curriculum_stage_3_mixed_traffic","capped","10","300","117.1","91.570036","0.8"
"deep_sets_mean","curriculum_stage_3_mixed_traffic","full","10","","210.3","169.228453","0.7"
"self_attention","curriculum_stage_3_mixed_traffic","full","10","","200.9","161.794021","0.8"
"deep_sets_mean_max","curriculum_stage_3_mixed_traffic","full","10","","151.4","119.156728","0.8"
"basic_mlp","curriculum_stage_3_mixed_traffic","full","10","","139.7","108.722901","0.9"
