threshold,episode,seed,episodic_return,episodic_length,collided,avg_uncertainty,max_uncertainty,activation_count,activation_rate
1.0,1,1000,136.19944789839636,170,True,0.00045837899984315516,0.0017097735544666648,0,0.0
1.0,2,1001,120.7545613800572,164,True,0.0004087018010844675,0.00149082753341645,0,0.0
1.0,3,1002,17.359444468927297,29,True,0.0002985476352603592,0.0011614668183028698,0,0.0
1.0,4,1003,51.353411728462376,74,True,0.00036887786985529157,0.001206700806505978,0,0.0
1.0,5,1004,101.97116261453918,115,True,0.00040290201864674757,0.0014576641842722893,0,0.0
1.0,6,1005,75.72175401981342,81,True,0.0005127867051680684,0.0017110203625634313,0,0.0
1.0,7,1006,20.425720387226775,29,True,0.00041994814831735407,0.0009226955007761717,0,0.0
1.0,8,1007,18.79592060242247,32,True,0.0004493460622256862,0.0010054124286398292,0,0.0
1.0,9,1008,15.144488772092986,27,True,0.00046639492373085685,0.0013019917532801628,0,0.0
1.0,10,1009,71.052286083439,89,True,0.00039605340285827094,0.001588463899679482,0,0.0
1.0,11,1010,157.4653129097201,169,True,0.00044015453605807234,0.0015636433381587267,0,0.0
1.0,12,1011,129.57056114858548,141,True,0.0004055610418534162,0.0018198140896856785,0,0.0
1.0,13,1012,149.16245275294315,180,True,0.0003742056510974281,0.0015790702309459448,0,0.0
1.0,14,1013,66.72658084666355,93,True,0.00035710054153144003,0.001400957116857171,0,0.0
1.0,15,1014,21.620934007284866,35,True,0.0004357057411523004,0.0010283694136887789,0,0.0
1.0,16,1015,17.88972762839243,27,True,0.00043984839417303363,0.0010519796051084995,0,0.0
1.0,17,1016,14.761516564967199,26,True,0.00033307708802637464,0.000854138343129307,0,0.0
1.0,18,1017,19.074855978121857,31,True,0.00026517047855680086,0.0008185853366740048,0,0.0
1.0,19,1018,126.09940196338276,137,True,0.00041934161950569826,0.001720435218885541,0,0.0
1.0,20,1019,16.280239301234626,28,True,0.00033201598846842117,0.000663949060253799,0,0.0
1.0,21,1020,91.5363331620363,115,True,0.0004288050846061315,0.0029730768874287605,0,0.0
1.0,22,1021,193.63275506004217,209,True,0.0004069345654440993,0.0013083202065899968,0,0.0
1.0,23,1022,56.53043440467558,67,True,0.00040002343938347134,0.0012954560806974769,0,0.0
1.0,24,1023,94.53049875552512,119,True,0.0003733134342058163,0.001270501990802586,0,0.0
1.0,25,1024,16.609925912435166,29,True,0.00046217675148439193,0.001057929010130465,0,0.0
1.0,26,1025,51.41214750870705,64,True,0.00041514486974847387,0.0015642353100702167,0,0.0
1.0,27,1026,11.458584391665005,21,True,0.0003222201899223451,0.0011070844484493136,0,0.0
1.0,28,1027,14.509274328715804,25,True,0.0005557569831580623,0.0018294415203854442,0,0.0
1.0,29,1028,15.971287909219292,27,True,0.0004316613244386476,0.0012117173755541444,0,0.0
1.0,30,1029,10.70652078580065,20,True,0.00031246316993929215,0.000813547580037266,0,0.0
1.0,31,1030,18.876093978185384,31,True,0.00047143320261966437,0.0013694817898795009,0,0.0
1.0,32,1031,70.78663090591864,91,True,0.0004719734291599137,0.0013504555681720376,0,0.0
1.0,33,1032,21.80239261112653,35,True,0.00047435252438715126,0.0015986673533916473,0,0.0
1.0,34,1033,21.127085276467053,35,True,0.0003694226234074449,0.0014869689475744963,0,0.0
1.0,35,1034,13.593820159175825,25,True,0.0003611124640883645,0.0011576020624488592,0,0.0
1.0,36,1035,117.93712144065748,132,True,0.0003918379104354906,0.001375496620312333,0,0.0
1.0,37,1036,14.278134832263651,25,True,0.0003739987820154056,0.0008751880959607661,0,0.0
1.0,38,1037,17.016455534075757,29,True,0.0004244713731920989,0.0011346801184117794,0,0.0
1.0,39,1038,13.671304482226455,24,True,0.0004134122095820203,0.0009602837380953133,0,0.0
1.0,40,1039,27.532111731495654,34,True,0.0004837361554082771,0.0017225357005372643,0,0.0
1.0,41,1040,65.20943572139284,80,True,0.00037330929933432344,0.0013551258016377687,0,0.0
1.0,42,1041,73.08080064240029,95,True,0.0003657222033277656,0.0013309393543750048,0,0.0
1.0,43,1042,79.02290252056959,103,True,0.0004150201258172159,0.0014810396824032068,0,0.0
1.0,44,1043,80.15001518790255,105,True,0.0003715954252540888,0.0015940177254378796,0,0.0
1.0,45,1044,39.360607668467885,57,True,0.0004148854956216191,0.0011178008280694485,0,0.0
1.0,46,1045,46.37884599813764,68,True,0.0004433306061507798,0.0012119129532948136,0,0.0
1.0,47,1046,28.9993604144808,44,True,0.000341676465557777,0.001623142627067864,0,0.0
1.0,48,1047,202.88062539217248,238,True,0.00040488742249616727,0.0018714149482548237,0,0.0
1.0,49,1048,70.6563977660985,90,True,0.00034710883361791883,0.0013735783286392689,0,0.0
1.0,50,1049,164.22949788296452,191,True,0.0003554416824863914,0.0012101493775844574,0,0.0
