lambda_u,model_label,display_name,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,28,1027,21.49845117519117,36,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,29,1028,20.307758550219166,40,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,30,1029,18.346475875663472,29,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,31,1030,28.900668928886507,49,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,32,1031,499.8530284261032,600,0,0,0,1,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,33,1032,29.21287515505617,54,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,34,1033,499.5437944844683,600,0,0,0,1,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,35,1034,18.67674593457287,39,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,36,1035,498.3945873146984,600,0,0,0,1,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,37,1036,21.40062140639688,35,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,38,1037,25.1715637080384,45,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,39,1038,20.323559492331253,35,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,40,1039,23.374304249420668,46,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,41,1040,455.35488280227287,556,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,42,1041,42.06858333863256,51,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,43,1042,42.90331694988282,53,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,44,1043,44.815605858980135,55,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,45,1044,497.8682866881207,600,0,0,0,1,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,46,1045,41.11350181142597,50,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,47,1046,44.12335225169181,56,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,48,1047,35.178040063144735,43,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,49,1048,42.065240896663525,51,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,50,1049,50.428097989062785,61,1,0,1,0,overtake_blocked
