lambda_u,model_label,display_name,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,41,1040,41.725058579544836,50,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,42,1041,116.45511539204061,161,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,43,1042,329.64765683317324,411,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,44,1043,43.50345092992609,53,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,45,1044,48.46761667796032,63,1,0,1,0,stay_best
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,46,1045,454.9870792887561,548,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,47,1046,179.72395881121557,222,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,48,1047,501.21814306672917,600,0,0,0,1,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,49,1048,501.63422865651205,600,0,0,0,1,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,12345,50,1049,34.987542183142175,44,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,1,1000,498.10628953733965,600,0,0,0,1,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,2,1001,498.6066623295863,600,0,0,0,1,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,3,1002,24.46120086037512,43,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,4,1003,37.12081910926361,46,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,5,1004,491.2833821827051,600,0,0,0,1,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,6,1005,502.6086718332496,600,0,0,0,1,stay_best
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,7,1006,20.510144729411575,33,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,8,1007,499.1562630106402,600,0,0,0,1,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,9,1008,35.84036897695139,52,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,10,1009,194.1488168448452,246,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,11,1010,52.23084059808112,64,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,12,1011,451.32201351303684,558,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,13,1012,42.03716545908608,54,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,14,1013,38.58193157721133,47,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,15,1014,46.96528974211965,68,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,16,1015,24.012786147841183,38,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,17,1016,18.20221101126166,37,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,18,1017,357.80348944537957,441,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,19,1018,43.834390630739605,54,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,20,1019,26.814399755871392,46,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,21,1020,41.27646242104818,51,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,22,1021,37.190699875121624,46,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,23,1022,501.7541216820233,600,0,0,0,1,stay_best
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,24,1023,500.30847127720403,600,0,0,0,1,stay_best
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,25,1024,24.078738404119004,46,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,26,1025,499.2218140439628,600,0,0,0,1,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,27,1026,19.168025013903563,30,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,28,1027,22.29458444470077,36,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,29,1028,23.843523733500287,42,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,30,1029,18.893192576283255,29,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,31,1030,31.213276610659555,51,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,32,1031,501.2074661958603,600,0,0,0,1,stay_best
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,33,1032,27.881962991246287,52,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,34,1033,499.77416282766904,600,0,0,0,1,stay_best
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,35,1034,18.06093711347582,38,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,36,1035,497.13409601158196,600,0,0,0,1,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,37,1036,22.865185052904824,35,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,38,1037,24.89305531713622,43,1,0,1,0,overtake_easy
