model_label,display_name,train_seed,episode_index,eval_seed,start_lane,episodic_return,episodic_length,collided,capped,terminated,truncated,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,31,1030,1,33.697683136064654,39,1,0,1,0,safeguarded,0.001,5,0.0025422331005430375,0.007585795130580664,32,0.8205128205128205
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,32,1031,2,276.0938297174728,306,1,0,1,0,safeguarded,0.001,5,0.0030306164546488492,0.011591576039791107,257,0.8398692810457516
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,33,1032,1,166.59629286084885,187,1,0,1,0,safeguarded,0.001,5,0.0027669546348687117,0.012400973588228226,154,0.8235294117647058
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,34,1033,1,215.09399726340772,240,1,0,1,0,safeguarded,0.001,5,0.0030429378905864725,0.015072980895638466,201,0.8375
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,35,1034,1,333.3420389824763,368,1,0,1,0,safeguarded,0.001,5,0.0029915385759335077,0.01648217812180519,306,0.8315217391304348
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,36,1035,0,65.65784785129948,75,1,0,1,0,safeguarded,0.001,5,0.002670505481267658,0.008428107015788555,61,0.8133333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,37,1036,1,140.9776698741231,159,1,0,1,0,safeguarded,0.001,5,0.0030221575193851015,0.014779108576476574,139,0.8742138364779874
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,38,1037,1,162.03067868561206,182,1,0,1,0,safeguarded,0.001,5,0.0029403966279690163,0.014805539511144161,150,0.8241758241758241
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,39,1038,1,34.534393559763465,40,1,0,1,0,safeguarded,0.001,5,0.0025404985921340995,0.0062055932357907295,34,0.85
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,40,1039,1,220.17141839526346,246,1,0,1,0,safeguarded,0.001,5,0.002893250734792318,0.01583023928105831,208,0.8455284552845529
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,41,1040,0,116.09335432268242,131,1,0,1,0,safeguarded,0.001,5,0.0029492027842517913,0.012608174234628677,105,0.8015267175572519
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,42,1041,2,290.1441368718406,322,1,0,1,0,safeguarded,0.001,5,0.002914581695222296,0.015060081146657467,263,0.8167701863354038
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,43,1042,2,305.6081612318383,339,1,0,1,0,safeguarded,0.001,5,0.003085495415246691,0.013118092902004719,289,0.8525073746312685
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,44,1043,2,35.32936098173033,41,1,0,1,0,safeguarded,0.001,5,0.002683067276914854,0.009502949193120003,33,0.8048780487804879
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,45,1044,0,53.15441484676259,61,1,0,1,0,safeguarded,0.001,5,0.0031881115607321872,0.017320429906249046,51,0.8360655737704918
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,46,1045,2,79.65750830222241,91,1,0,1,0,safeguarded,0.001,5,0.002920404279023757,0.012154025956988335,76,0.8351648351648352
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,47,1046,0,46.027198167813225,53,1,0,1,0,safeguarded,0.001,5,0.0031585948912971566,0.009130246937274933,48,0.9056603773584906
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,48,1047,0,217.9964060129317,245,1,0,1,0,safeguarded,0.001,5,0.0031129653043053067,0.014559836126863956,216,0.8816326530612245
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,49,1048,2,88.65268720010585,101,1,0,1,0,safeguarded,0.001,5,0.0028267861292052016,0.011967701837420464,86,0.8514851485148515
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,12345,50,1049,2,163.3476512748631,184,1,0,1,0,safeguarded,0.001,5,0.0029712980309420304,0.012126420624554157,156,0.8478260869565217
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,1,1000,0,501.0673363943704,600,0,0,0,1,safeguarded,0.001,5,0.00421943609881661,0.03075951524078846,532,0.8866666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,2,1001,2,63.529455456497175,76,1,0,1,0,safeguarded,0.001,5,0.003888197443685433,0.015992334112524986,68,0.8947368421052632
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,3,1002,1,501.3349540023601,600,0,0,0,1,safeguarded,0.001,5,0.004380283602561879,0.029569653794169426,518,0.8633333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,4,1003,0,501.0510955810988,600,0,0,0,1,safeguarded,0.001,5,0.0043559429376364275,0.03481680527329445,526,0.8766666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,5,1004,2,501.07668234823694,600,0,0,0,1,safeguarded,0.001,5,0.00447497090693408,0.027617886662483215,529,0.8816666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,6,1005,1,501.2798897346061,600,0,0,0,1,safeguarded,0.001,5,0.0043651028638366065,0.03930673375725746,529,0.8816666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,7,1006,1,501.2694566436123,600,0,0,0,1,safeguarded,0.001,5,0.004315611268078404,0.037477873265743256,537,0.895
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,8,1007,0,501.09855046053394,600,0,0,0,1,safeguarded,0.001,5,0.0043490613295459,0.036221276968717575,522,0.87
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,9,1008,1,501.29293715713055,600,0,0,0,1,safeguarded,0.001,5,0.004132211462104654,0.02930750884115696,525,0.875
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,10,1009,2,501.0474719081904,600,0,0,0,1,safeguarded,0.001,5,0.00446660892732325,0.036000918596982956,523,0.8716666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,11,1010,2,500.96244214563364,600,0,0,0,1,safeguarded,0.001,5,0.004127840688949315,0.024017181247472763,517,0.8616666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,12,1011,0,501.1266298365805,600,0,0,0,1,safeguarded,0.001,5,0.004380908400653425,0.029992468655109406,538,0.8966666666666666
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,13,1012,2,501.24310198699845,600,0,0,0,1,safeguarded,0.001,5,0.004405191006420258,0.028663601726293564,527,0.8783333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,14,1013,0,501.1722789644744,600,0,0,0,1,safeguarded,0.001,5,0.004293483179438529,0.028200220316648483,532,0.8866666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,15,1014,1,501.3280778151791,600,0,0,0,1,safeguarded,0.001,5,0.004109462431964251,0.02414708212018013,530,0.8833333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,16,1015,1,501.4554441529065,600,0,0,0,1,safeguarded,0.001,5,0.004647027165495577,0.05176196247339249,534,0.89
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,17,1016,1,501.2786968522087,600,0,0,0,1,safeguarded,0.001,5,0.004583319400007895,0.037109050899744034,539,0.8983333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,18,1017,2,501.22829647619795,600,0,0,0,1,safeguarded,0.001,5,0.0043147334516288535,0.024794112890958786,548,0.9133333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,19,1018,2,496.202882450168,595,1,0,1,0,safeguarded,0.001,5,0.004719015709814193,0.029984986409544945,521,0.8756302521008403
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,20,1019,1,501.14911040312563,600,0,0,0,1,safeguarded,0.001,5,0.004285321777521555,0.033317334949970245,525,0.875
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,21,1020,2,43.58363969580164,52,1,0,1,0,safeguarded,0.001,5,0.004887299275231691,0.01978822611272335,47,0.9038461538461539
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,22,1021,0,501.29288117325365,600,0,0,0,1,safeguarded,0.001,5,0.0046793690143628434,0.03185568004846573,533,0.8883333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,23,1022,2,501.25204623837885,600,0,0,0,1,safeguarded,0.001,5,0.00418903635695339,0.03259686008095741,525,0.875
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,24,1023,0,380.2835193136306,456,1,0,1,0,safeguarded,0.001,5,0.004253303545754119,0.032217927277088165,402,0.881578947368421
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,25,1024,1,501.2120058725602,600,0,0,0,1,safeguarded,0.001,5,0.0042541689527691535,0.022072667255997658,524,0.8733333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,26,1025,2,501.2095610439484,600,0,0,0,1,safeguarded,0.001,5,0.0042293330850588975,0.025975501164793968,540,0.9
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,27,1026,1,501.251953044316,600,0,0,0,1,safeguarded,0.001,5,0.004100666396931653,0.03389625623822212,507,0.845
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,28,1027,1,501.20924682712644,600,0,0,0,1,safeguarded,0.001,5,0.004225290784415847,0.031195160001516342,521,0.8683333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,29,1028,1,501.20998305584317,600,0,0,0,1,safeguarded,0.001,5,0.004113278259701474,0.04933255538344383,518,0.8633333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,30,1029,1,501.2910861490093,600,0,0,0,1,safeguarded,0.001,5,0.004336261693897541,0.03293357416987419,524,0.8733333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,31,1030,1,501.0798327496366,600,0,0,0,1,safeguarded,0.001,5,0.004259350537031423,0.0315750427544117,530,0.8833333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,32,1031,2,55.3541901147028,66,1,0,1,0,safeguarded,0.001,5,0.00451914696146339,0.015771999955177307,56,0.8484848484848485
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,33,1032,1,501.3966518208672,600,0,0,0,1,safeguarded,0.001,5,0.0041797795500648745,0.03028680942952633,520,0.8666666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,34,1033,1,501.54673573160005,600,0,0,0,1,safeguarded,0.001,5,0.004077636975877492,0.027730267494916916,515,0.8583333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,35,1034,1,501.24593729602304,600,0,0,0,1,safeguarded,0.001,5,0.004238506808445284,0.03525996953248978,536,0.8933333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,36,1035,0,501.052807311601,600,0,0,0,1,safeguarded,0.001,5,0.0040868101943154515,0.02919146418571472,516,0.86
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,37,1036,1,501.36170599853364,600,0,0,0,1,safeguarded,0.001,5,0.004224216329530464,0.03213431313633919,532,0.8866666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,38,1037,1,501.30051106905864,600,0,0,0,1,safeguarded,0.001,5,0.004364561472903006,0.028046652674674988,533,0.8883333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,39,1038,1,501.0545994343037,600,0,0,0,1,safeguarded,0.001,5,0.003913164968992836,0.03622821345925331,522,0.87
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,40,1039,1,501.43146802087324,600,0,0,0,1,safeguarded,0.001,5,0.00431589849239875,0.03111601062119007,536,0.8933333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,41,1040,0,501.2630862603595,600,0,0,0,1,safeguarded,0.001,5,0.004152211132277444,0.043587103486061096,526,0.8766666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,42,1041,2,109.35362145376484,131,1,0,1,0,safeguarded,0.001,5,0.004359086347834513,0.024225303903222084,117,0.8931297709923665
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,43,1042,2,47.924213954081296,57,1,0,1,0,safeguarded,0.001,5,0.0040290907183365915,0.02124806120991707,50,0.8771929824561403
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,44,1043,2,41.86460371898684,50,1,0,1,0,safeguarded,0.001,5,0.004232602771371603,0.02247275784611702,46,0.92
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,45,1044,0,501.1093155943123,600,0,0,0,1,safeguarded,0.001,5,0.004307832335362036,0.031047388911247253,521,0.8683333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,46,1045,2,501.0042831837219,600,0,0,0,1,safeguarded,0.001,5,0.004361807776634427,0.02707350067794323,531,0.885
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,47,1046,0,501.02807558657184,600,0,0,0,1,safeguarded,0.001,5,0.003931259326206297,0.03386804088950157,507,0.845
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,48,1047,0,501.1535623227527,600,0,0,0,1,safeguarded,0.001,5,0.004448620014782137,0.03518718108534813,530,0.8833333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,49,1048,2,501.0712960201323,600,0,0,0,1,safeguarded,0.001,5,0.0043164710418447305,0.02668919414281845,525,0.875
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,23456,50,1049,2,501.1920778293185,600,0,0,0,1,safeguarded,0.001,5,0.0046631622169540305,0.038451917469501495,537,0.895
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,1,1000,0,500.519359323097,600,0,0,0,1,safeguarded,0.001,5,0.0020087542491334415,0.01694001443684101,413,0.6883333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,2,1001,2,500.5385746787708,600,0,0,0,1,safeguarded,0.001,5,0.001976509168201422,0.022957075387239456,437,0.7283333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,3,1002,1,500.66292546461824,600,0,0,0,1,safeguarded,0.001,5,0.0021166900955389184,0.013036403805017471,432,0.72
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,4,1003,0,500.512458530973,600,0,0,0,1,safeguarded,0.001,5,0.0018907800982500096,0.009435338899493217,387,0.645
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,5,1004,2,500.5694744234396,600,0,0,0,1,safeguarded,0.001,5,0.001992954678086486,0.008383814245462418,438,0.73
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,6,1005,1,500.64523417058217,600,0,0,0,1,safeguarded,0.001,5,0.002074718886882086,0.01155317947268486,419,0.6983333333333334
