"model","source_file","iteration","timesteps_so_far","avg_episodic_length","avg_episodic_return","avg_loss","iteration_seconds"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","25","102990","36.04386","25.24763","-0.000317","57.16"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","1","4100","20.0","12.241325","-0.004185","58.56"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","2","8209","21.973262","13.84708","-0.002521","57.87"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","3","12327","21.78836","13.652266","-0.002182","57.8"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","4","16427","25.308642","15.90273","-0.000491","57.2"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","5","20534","27.019737","17.3247","-0.00018","57.64"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","6","24651","24.360947","15.564634","-0.000738","57.76"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","7","28768","24.652695","15.859495","-0.001132","57.62"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","8","32892","29.457143","19.906544","-0.000734","57.82"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","9","36994","28.486111","19.026823","-0.000671","57.37"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","10","41105","33.975207","22.730122","-0.000857","57.56"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","11","45209","27.72973","18.280068","-0.000639","56.78"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","12","49346","27.039216","17.791384","-0.000307","57.88"
