checkpoint,config_name,train_seed,eval_seeds,eval_type,lane_policy,avg_episodic_return,avg_episodic_length,collision_rate,lane_counts,scenario_counts,noncollision_episode_lengths
C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_single_stage2_full_seed23456_20260505_100253\checkpoint_actor.pth,curriculum_stage_2_easy_overtake,23456,1000-1049,full,center,54.13227991536743,72.14,0.92,"{""1"": 50}","{""overtake_blocked"": 8, ""overtake_easy"": 37, ""stay_best"": 5}","[525, 525, 525, 525]"
C:\Users\milke\groupCoursework\FYP\experiment_runs\meanmax_single_stage2_full_seed23456_20260505_100253\checkpoint_actor.pth,curriculum_stage_2_easy_overtake,23456,1000-1049,full,random,198.74514207342486,242.2,0.62,"{""0"": 12, ""1"": 21, ""2"": 17}","{""overtake_blocked"": 8, ""overtake_easy"": 36, ""stay_best"": 6}","[525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525]"
