model_label,display_name,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,30,1029,13.404276922203989,28,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0007950126777619257,0.002991071669384837,17,0.6071428571428571
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,31,1030,28.929593508974524,44,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0009818010702557249,0.0025223817210644484,33,0.75
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,32,1031,500.61792159877956,600,0,0,0,1,stay_best,safeguarded,0.0005,5,0.001016802836950319,0.005533771589398384,433,0.7216666666666667
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,33,1032,26.330760801726154,48,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0009695777594818841,0.0029172408394515514,39,0.8125
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,34,1033,500.96334555769926,600,0,0,0,1,stay_best,safeguarded,0.0005,5,0.0009498256819097151,0.004805959761142731,417,0.695
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,35,1034,22.25021941665159,35,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0008182218030144992,0.002519546076655388,24,0.6857142857142857
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,36,1035,501.1525744356136,600,0,0,0,1,overtake_easy,safeguarded,0.0005,5,0.0010411249652861442,0.005370724946260452,459,0.765
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,37,1036,17.0218002278646,33,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0008793718203157892,0.002346482826396823,25,0.7575757575757576
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,38,1037,20.972353385153532,40,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0010684783429496746,0.004364642780274153,28,0.7
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,39,1038,16.993087162238755,33,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0008663199341478476,0.0017321560299023986,24,0.7272727272727273
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,40,1039,22.351189807249707,43,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0012022409901810745,0.00458485959097743,30,0.6976744186046512
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,41,1040,496.12131053702694,600,0,0,0,1,overtake_blocked,safeguarded,0.0005,5,0.0008969045109824947,0.006516828201711178,409,0.6816666666666666
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,42,1041,500.5585305313649,600,0,0,0,1,overtake_easy,safeguarded,0.0005,5,0.0009613103449404055,0.005116044078022242,422,0.7033333333333334
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,43,1042,165.53722168982114,200,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.000969706242576649,0.005312081892043352,144,0.72
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,44,1043,494.2183914454704,600,0,0,0,1,overtake_easy,safeguarded,0.0005,5,0.0009873476277819768,0.0050681536085903645,427,0.7116666666666667
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,45,1044,58.69307985588368,69,1,0,1,0,stay_best,safeguarded,0.0005,5,0.0008916513819502248,0.003826713655143976,41,0.5942028985507246
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,46,1045,496.22044683036745,600,0,0,0,1,overtake_easy,safeguarded,0.0005,5,0.001000044048308458,0.005727549083530903,423,0.705
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,47,1046,40.65097167208077,59,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.001002369150351654,0.005238397512584925,40,0.6779661016949152
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,48,1047,217.17258163097196,277,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0009740941482559326,0.0042729489505290985,199,0.7184115523465704
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,49,1048,501.1700984307027,600,0,0,0,1,overtake_easy,safeguarded,0.0005,5,0.0009481181884878727,0.004684306215494871,425,0.7083333333333334
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,45678,50,1049,87.47711484818014,107,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.001018684242723377,0.0034678291995078325,83,0.7757009345794392
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,1,1000,33.13868522100966,50,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0004215582913457183,0.0010681669227778912,18,0.36
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,2,1001,150.61266140016764,191,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0004618415231185634,0.0027289967983961105,68,0.35602094240837695
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,3,1002,489.8811940073793,600,0,0,0,1,overtake_easy,safeguarded,0.0005,5,0.00046228852541692805,0.001920189126394689,211,0.3516666666666667
