run_index,train_seed,model,seed,episodic_return,episodic_length,collided
2,23456,uncertainty_aware_lambda_0.01,1038,19.550551919858542,31,1
2,23456,uncertainty_aware_lambda_0.01,1039,501.67815311280043,600,0
2,23456,uncertainty_aware_lambda_0.01,1040,26.642355485070656,42,1
2,23456,uncertainty_aware_lambda_0.01,1041,380.29524394558285,468,1
2,23456,uncertainty_aware_lambda_0.01,1042,23.767715921695824,39,1
2,23456,uncertainty_aware_lambda_0.01,1043,16.29826262300562,31,1
2,23456,uncertainty_aware_lambda_0.01,1044,24.222018992106253,39,1
2,23456,uncertainty_aware_lambda_0.01,1045,26.33543637501922,42,1
2,23456,uncertainty_aware_lambda_0.01,1046,31.995131044110018,51,1
2,23456,uncertainty_aware_lambda_0.01,1047,18.469912565927725,37,1
2,23456,uncertainty_aware_lambda_0.01,1048,23.45932723960541,40,1
2,23456,uncertainty_aware_lambda_0.01,1049,26.934244463214053,46,1
3,34567,deep_sets_mean_max_baseline,1000,18.93293246864317,35,1
3,34567,deep_sets_mean_max_baseline,1001,11.933524815287356,25,1
3,34567,deep_sets_mean_max_baseline,1002,17.22760402411167,33,1
3,34567,deep_sets_mean_max_baseline,1003,22.589404409135824,31,1
3,34567,deep_sets_mean_max_baseline,1004,12.763029800527455,26,1
3,34567,deep_sets_mean_max_baseline,1005,21.036757340124264,37,1
3,34567,deep_sets_mean_max_baseline,1006,17.811264228569012,33,1
3,34567,deep_sets_mean_max_baseline,1007,22.50950040725869,40,1
3,34567,deep_sets_mean_max_baseline,1008,18.351901025388603,33,1
3,34567,deep_sets_mean_max_baseline,1009,14.28486855732814,28,1
3,34567,deep_sets_mean_max_baseline,1010,21.310263243952928,39,1
3,34567,deep_sets_mean_max_baseline,1011,17.07710231705576,32,1
3,34567,deep_sets_mean_max_baseline,1012,19.51346928862449,35,1
3,34567,deep_sets_mean_max_baseline,1013,14.244633261849826,29,1
3,34567,deep_sets_mean_max_baseline,1014,20.882465457728447,38,1
3,34567,deep_sets_mean_max_baseline,1015,20.31687662752576,37,1
3,34567,deep_sets_mean_max_baseline,1016,16.915858383076433,32,1
3,34567,deep_sets_mean_max_baseline,1017,127.9562874881729,150,1
3,34567,deep_sets_mean_max_baseline,1018,19.362168396762492,36,1
3,34567,deep_sets_mean_max_baseline,1019,16.21473444100868,31,1
3,34567,deep_sets_mean_max_baseline,1020,13.976586587476744,27,1
3,34567,deep_sets_mean_max_baseline,1021,18.117466286429927,34,1
3,34567,deep_sets_mean_max_baseline,1022,23.46444813839841,41,1
3,34567,deep_sets_mean_max_baseline,1023,23.668233447296622,38,1
3,34567,deep_sets_mean_max_baseline,1024,15.246995694378354,30,1
3,34567,deep_sets_mean_max_baseline,1025,17.82565881836863,33,1
3,34567,deep_sets_mean_max_baseline,1026,17.72993185316284,33,1
3,34567,deep_sets_mean_max_baseline,1027,19.008266550792886,35,1
3,34567,deep_sets_mean_max_baseline,1028,17.358961987928677,33,1
3,34567,deep_sets_mean_max_baseline,1029,18.38594569146644,33,1
3,34567,deep_sets_mean_max_baseline,1030,14.742490499484536,30,1
3,34567,deep_sets_mean_max_baseline,1031,22.4913683518463,39,1
3,34567,deep_sets_mean_max_baseline,1032,64.70463082248375,84,1
3,34567,deep_sets_mean_max_baseline,1033,24.103541959058084,42,1
3,34567,deep_sets_mean_max_baseline,1034,81.65331362741455,104,1
3,34567,deep_sets_mean_max_baseline,1035,17.956922586399067,34,1
3,34567,deep_sets_mean_max_baseline,1036,21.411752394129003,38,1
3,34567,deep_sets_mean_max_baseline,1037,17.093866204988295,33,1
3,34567,deep_sets_mean_max_baseline,1038,13.674194675188085,28,1
3,34567,deep_sets_mean_max_baseline,1039,122.91089557555478,145,1
3,34567,deep_sets_mean_max_baseline,1040,20.189265572103054,36,1
3,34567,deep_sets_mean_max_baseline,1041,100.54439905451201,112,1
3,34567,deep_sets_mean_max_baseline,1042,17.311854746936014,33,1
3,34567,deep_sets_mean_max_baseline,1043,13.327183446304439,27,1
3,34567,deep_sets_mean_max_baseline,1044,18.9208965279783,34,1
3,34567,deep_sets_mean_max_baseline,1045,17.632122186622247,34,1
3,34567,deep_sets_mean_max_baseline,1046,21.416636480985563,38,1
3,34567,deep_sets_mean_max_baseline,1047,16.76825387600812,32,1
3,34567,deep_sets_mean_max_baseline,1048,16.565438731179217,33,1
3,34567,deep_sets_mean_max_baseline,1049,21.9942101354807,37,1
3,34567,uncertainty_aware_lambda_0.01,1000,19.08234823602345,34,1
3,34567,uncertainty_aware_lambda_0.01,1001,12.439954357491048,25,1
3,34567,uncertainty_aware_lambda_0.01,1002,17.36940161096091,32,1
3,34567,uncertainty_aware_lambda_0.01,1003,24.407606749744414,31,1
3,34567,uncertainty_aware_lambda_0.01,1004,13.270885133378062,26,1
3,34567,uncertainty_aware_lambda_0.01,1005,21.540804351197284,37,1
3,34567,uncertainty_aware_lambda_0.01,1006,17.95453483117152,32,1
3,34567,uncertainty_aware_lambda_0.01,1007,22.643826854292993,39,1
3,34567,uncertainty_aware_lambda_0.01,1008,18.867384600647444,33,1
3,34567,uncertainty_aware_lambda_0.01,1009,14.794968017587514,28,1
3,34567,uncertainty_aware_lambda_0.01,1010,21.81428017680434,39,1
3,34567,uncertainty_aware_lambda_0.01,1011,17.23845371214782,31,1
3,34567,uncertainty_aware_lambda_0.01,1012,20.020511662953194,35,1
3,34567,uncertainty_aware_lambda_0.01,1013,14.391811256715004,28,1
3,34567,uncertainty_aware_lambda_0.01,1014,21.387974995285763,38,1
3,34567,uncertainty_aware_lambda_0.01,1015,20.81740268382927,37,1
3,34567,uncertainty_aware_lambda_0.01,1016,17.42599874309997,32,1
3,34567,uncertainty_aware_lambda_0.01,1017,118.81771654070693,136,1
3,34567,uncertainty_aware_lambda_0.01,1018,19.866244845391222,36,1
3,34567,uncertainty_aware_lambda_0.01,1019,16.721705445397816,31,1
3,34567,uncertainty_aware_lambda_0.01,1020,14.250782157486148,27,1
3,34567,uncertainty_aware_lambda_0.01,1021,19.8077212281173,34,1
3,34567,uncertainty_aware_lambda_0.01,1022,23.963976729450785,41,1
3,34567,uncertainty_aware_lambda_0.01,1023,25.032923504066552,37,1
3,34567,uncertainty_aware_lambda_0.01,1024,15.759128926922587,30,1
3,34567,uncertainty_aware_lambda_0.01,1025,17.968620603754623,32,1
3,34567,uncertainty_aware_lambda_0.01,1026,17.87584758803876,32,1
3,34567,uncertainty_aware_lambda_0.01,1027,19.51249500755195,35,1
3,34567,uncertainty_aware_lambda_0.01,1028,17.8703496673611,33,1
3,34567,uncertainty_aware_lambda_0.01,1029,18.891464413029777,33,1
3,34567,uncertainty_aware_lambda_0.01,1030,15.252343436877945,30,1
3,34567,uncertainty_aware_lambda_0.01,1031,22.99324774190596,39,1
3,34567,uncertainty_aware_lambda_0.01,1032,86.77899981648159,107,1
3,34567,uncertainty_aware_lambda_0.01,1033,24.604985610797534,42,1
3,34567,uncertainty_aware_lambda_0.01,1034,78.93716122877508,100,1
3,34567,uncertainty_aware_lambda_0.01,1035,18.462620685679695,34,1
3,34567,uncertainty_aware_lambda_0.01,1036,21.914516278740262,38,1
3,34567,uncertainty_aware_lambda_0.01,1037,17.60130632086859,33,1
3,34567,uncertainty_aware_lambda_0.01,1038,13.84477128713144,27,1
3,34567,uncertainty_aware_lambda_0.01,1039,119.67977443260013,140,1
3,34567,uncertainty_aware_lambda_0.01,1040,20.70023543724043,36,1
3,34567,uncertainty_aware_lambda_0.01,1041,155.874533171597,175,1
3,34567,uncertainty_aware_lambda_0.01,1042,17.82033290586915,33,1
3,34567,uncertainty_aware_lambda_0.01,1043,13.834108468085805,27,1
3,34567,uncertainty_aware_lambda_0.01,1044,19.068046758457953,33,1
3,34567,uncertainty_aware_lambda_0.01,1045,17.78067042458677,33,1
3,34567,uncertainty_aware_lambda_0.01,1046,23.365548524849043,38,1
3,34567,uncertainty_aware_lambda_0.01,1047,16.914147774985025,31,1
3,34567,uncertainty_aware_lambda_0.01,1048,17.07886997468782,33,1
3,34567,uncertainty_aware_lambda_0.01,1049,23.252984198244754,36,1
