model,iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,avg_raw_episodic_return,avg_critic_uncertainty,iteration_seconds
deep_sets_mean_max_baseline,25,102801,31.282443,21.260799,-0.00038,,,40.41
uncertainty_aware_lambda_0.01,25,102862,31.91,21.97,-0.00026,22.084,0.00034,88.81
